"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GKX342YQ","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:47:21","2019-09-17 21:47:21","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>pages 34-48</p> <p><span style=""text-decoration: line-through;"">Psychological measurement is a process for making warranted claims about states of mind.</span></p> <p>This paper's definition of psychological measurement seems off. I suggest the following definition: psychology measurement is process for measuring aspects of human behavior and mental processes.</p> <p>""Since constructs are invented things, there is no empirical limit to their number."" -What does it mean for social constructs to have an empirical limit? What is the operational definition of an empirical limit? It seems to imply that it is the complement event of that something finite.</p> <p> </p> <p><span style=""text-decoration: underline;"">Measurement Instruments</span></p> <p>Psychological measurement terms: tests, questionnaires, surveys, inventories.</p> <p>Measurement scale used interchangeably with instrument.</p> <p> </p> <p><span style=""text-decoration: underline;"">Specific Uses of Measurement Models in Learning Analytics</span></p> <p>Educational measurement used in classification, diagnosis, ranking, placement, certification of individuals, and corresponding inferences about groups</p> <p> </p> <p><span style=""text-decoration: underline;"">Item Response Theory (IRT)</span></p> <p>Modelling individual person-item interactions vs. total test scores.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6PEY9R3","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:47:21","2019-09-17 21:47:21","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>""Clicks to constructs""</p> <p> </p> <p><strong>Claims analysis: </strong>analysis of the implicit or explicit stances taken in the design and deploying of technologies; productive human-centered method to address key questions in learning analytics.</p> <p><strong>EPA Triad - </strong>epistemology, assessment, pedagogy</p> <p><strong>Epistemology</strong> - what do we want to measure. how to quantify activity and outputs within specific tasks.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BLUMAVI","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:47:22","2019-09-17 21:47:22","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IY6HVXGC","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:47:22","2019-09-17 21:47:22","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Links to a duplicate reading for some reason.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCGNYAD2","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:47:22","2019-09-17 21:47:22","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Z8FB95H","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:47:22","2019-09-17 21:47:22","","","","","","","","","","","","","","","","","","","","","","","<p>Interesting read on data visualizations.</p> <p>First thoughts that come to mind when reading this: wondering which program to dive deeper into. Academic research labs favor programs such as SPSS and R, but industry researchers require certifications in programs such as Tableau.</p> <p> </p> <p>In undergrad research training, was strongly encouraged to produce ""bare bones"" data visualizations focused on conveying information as opposed to creating beautiful visualization that may distract from the objectivity of the data--also highly discouraged from using any colors.</p> <p> </p> <p>Another train of thought: ""...the aspects of a display that register as ""beautiful"" or ""cool"" can make a reader more comfortable with the statistical information and substantive context of a graph.l</p> <p> </p> <p>Goals of graph: (1) discovery, (2) communication.</p> <p>Balancing conflict goals of designs and statisticians.</p> <p> </p> <p>Statistical data visualization vs. Infographics.</p> <p>Statistical data visualization defined as a focus on facilitating an understanding of patterns in an applied problem in directing readers to specific information and illustrating the data.</p> <p>Infographics defined as an attractive method to tell a story and encourage viewer to reflect on a particular dataset as a representation of individual measurements and larger patterns.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2NSKFG2","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:47:22","2019-09-17 21:47:22","","","","","","","","","","","","","","","","","Blog","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCW6CC8Z","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:47:22","2019-09-17 21:47:22","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p><strong>Data driven decision making (3DM)</strong> is a means to collect data at the student and school level to inform decision-making, tailor instruction, and allocate resources to students and classrooms.</p> <p>Schools are inundated with data, such as test scores, teacher assigned grades, periodic formative and summative assessments, attendance, and discipline records.</p> <p>Much of the focus has been on <strong>standardized test scores</strong>. However, low criterion validity has been shown for test scores in relation to overall student school (e.g., graduation, dropping out) or life outcomes.</p> <p>Teacher-assigned grades are predictive of overall student outcomes; however, it is a weak indicator of academic knowledge compared to standardized test scores.</p> <p>25% of variance in teacher-assigned grades attributed to assessing academic knowledge.</p> <p>75% of grades assess a student's ability to negotiate the social processes of school.</p> <p> </p> <p>Proposed methods to analyze student data:</p> <p>    (1) Cross-sectional means and standard deviations,     (2) individually inspect elements of student's data,     (3) single student course failures.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXRMEUPB","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:47:23","2019-09-17 21:47:23","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Network analysis entails two broad classes of hypotheses:</p> <p>(1) Understanding what influences the formation of relational ties in a given population (e.g., same major, same friends)</p> <p>(1) Influence the structure of ties has on shaping outcomes on the individual level (e.g., GPA, SES) or the population level (e.g., graduation rates, retention in STEM sciences)</p> <p>Goal of paper is to enable researchers to perform analyses that use relational data</p> <p><strong><span style=""text-decoration: underline;"">Network Types</span></strong></p> <p>1. Number of actors they contain</p> <ul> <li><span style=""text-decoration: underline;"">Unipartite</span>- networks that consist of only one type of actor (e.g., students)</li> <li><span style=""text-decoration: underline;"">Bipartite</span> - networks that link actors with the groups to which they belong. Example: scholars to author papers, instead of linking author to author or student to student, etc.</li> </ul> <p>2. Nature of Ties</p> <ul> <li><span style=""text-decoration: underline;"">Undirected</span>- if ties between actors are inherently bidirectional.</li> <li><span style=""text-decoration: underline;"">Directed</span>- Relation interest of a network has an associated direction. Example: student a thinks student b is smart, vice versa not necessarily true.</li> </ul> <p>3. Binary or Valued</p> <ul> <li><span style=""text-decoration: underline;"">Binary</span> - whether a relation exists or not</li> <li><span style=""text-decoration: underline;"">Valued ties</span>- additional quantitative information about the relation</li> </ul> <p><strong><span style=""text-decoration: underline;"">Network Data Collection</span></strong> requires setting a time frame for relationships of interest, bc real-world networks rarely static (i.e. bonds change through different bonds being formed or breaking).<br /></p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AJPP3WK","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:47:23","2019-09-17 21:47:23","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Interesting read. There seems to be a train of thought that one must</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
