"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XPILD7Q2","journalArticle","2014","Shermis, M.D.","State-of-the-art automated essay scoring: Competition, results, and future directions from a United States demonstration","Assessing Writing","","","","http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science/article/pii/S1075293513000196","","2014-04","2017-09-19 02:55:55","2017-09-19 02:55:55","2014-08-20 23:48:38","53-76","","","20","","","","","","","","","","","","","","","","","","","","http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science/article/pii/S1075293513000196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3YF6TDS","webpage","2014","Honan, Mat","I Liked Everything I Saw on Facebook for Two Days. Here’s What It Did to Me | Gadget Lab","WIRED","","","","http://www.wired.com/2014/08/i-liked-everything-i-saw-on-facebook-for-two-days-heres-what-it-did-to-me/","I like everything. Or at least I did, for 48 hours. Literally everything Facebook sent my way, I liked---even if I hated it.","2014-08-11","2017-09-19 02:55:56","2017-09-19 02:55:56","2014-08-12 14:01:43","","","","","","","","","","","","","","","","","","","","","","","","http://www.wired.com/2014/08/i-liked-everything-i-saw-on-facebook-for-two-days-heres-what-it-did-to-me/","","Facebook; like buttons; News Feed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CYA5AB5","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2017-09-19 02:55:57","2017-09-19 02:55:57","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7PL6IQAH","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2017-09-19 02:55:57","2017-09-19 02:55:57","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Key notes:</p> <p>""What we need to know about you is your contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts.""</p> <p> </p> <p>""you’ve got to have a third party who is responsible for protecting learner data. Then the student could have, say, a decade of data about the way that they’re learning.""</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIHKTS6I","conferencePaper","2013","Lee, Victor R.; Drake, Joel","Quantified Recess: Design of an Activity for Elementary Students Involving Analyses of Their Own Movement Data","","978-1-4503-1918-8","","10.1145/2485760.2485822","http://doi.acm.org.ezp-prod1.hul.harvard.edu/10.1145/2485760.2485822","Recess is often a time for children in school to engage recreationally in physically demanding and highly interactive activities with their peers. This paper describes a design effort to encourage fifth-grade students to examine sensitivities associated with different measures of center by having them analyze activities during recess using over the course of a week using Fitbit activity trackers and TinkerPlots data visualization software. We describe the activity structure some observed student behaviors during the activity. We also provide a descriptive account, based on video records and transcripts, of two students who engaged thoughtfully with their recess data and developed a more sophisticated understanding of when and how outliers affect means and medians.","2013","2017-09-19 02:55:57","2017-09-19 02:55:57","2014-02-27 05:07:35","273–276","","","","","","Quantified Recess","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","activity trackers; Collaboration; competition; elementary students; fitbit; physical activity; Quantified Self; TinkerPlots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETN24SAP","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2017-09-19 02:55:57","2017-09-19 02:55:57","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Key notes:</p> <p>""The EDM community brings together  an inter-disciplinary community of computer scientists,  learning scientists, psychometricians, and researchers from other traditions. ""</p> <p>""“Educational Data Mining is an emerging discipline,  concerned  with  deve loping  methods for exploring  the  unique types of data that come from educational  settings, and  using those methods to better und erstand students, and the settings which they learn in.”  </p> <p>“... the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning  and the environments in which it occurs.” </p> <p>""EDM has a considerably greater focus  on  automated discovery, and LAK  has a considerably greater focus on  leveraging human judgment. ""</p> <p> </p> <p>""EDM models are more often used as the basis of automated  adaptation, conducted by a computer system such as an intelligent tutoring system. By  contrast, LAK models are more often designed to  inform and empower instructors and learners.""</p> <p> </p> <p>""A third difference, and an important one, is the   distinction between  holistic and reductionistic   frameworks. It is much  more  typical  in EDM research to see research which reduces phenomena  to components  and  an alyzing  individual components  and  relationships  between  them. The  “discovery  with  models” paradigm for EDM research discussed in is a clear example of this paradigm. By  contrast, L AK  researchers  typically  place a stronger emphasis on attempting to understand systems as wholes, in their full complexity.""</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4M9WB8LB","blogPost","2015","Manai, J","The Learning Analytics Landscape: Tension Between Student Privacy and the Process of Data Mining","Carnegie Foundation for the Advancement of Teaching","","","","http://www.carnegiefoundation.org/blog/the-learning-analytics-landscape-tension-between-student-privacy-and-the-process-of-data-mining/","Data mining is a powerful tool being used by educational institutions to support student success, but often students do not know what data are being","2015-11-06","2017-09-19 02:55:58","2017-09-19 02:55:58","2016-01-06 22:44:02","","","","","","","The Learning Analytics Landscape","","","","","","","","","","","","","","","","","http://www.carnegiefoundation.org/blog/the-learning-analytics-landscape-tension-between-student-privacy-and-the-process-of-data-mining/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5N9Q7XQ","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2017-09-19 02:55:58","2017-09-19 02:55:58","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFPXFMJ","journalArticle","2015","Krueger, Keith R.; Moore, Bob","New technology “clouds” student data privacy","Phi Delta Kappan","","0031-7217, 1940-6487","10.1177/0031721715569464","http://pdk.sagepub.com/content/96/5/19","As technology has leaped forward to provide valuable learning tools, parents and policy makers have begun raising concerns about the privacy of student data that schools and systems have. Federal laws are intended to protect students and their families but they have not and will never be able to keep up with rapidly evolving technology. School systems can help themselves and their students by following a list of guidelines, the authors say.","2015-02-01","2017-09-19 02:55:58","2017-09-19 02:55:58","2015-12-17 16:16:17","19-24","","5","96","","Phi Delta Kappan","","","","","","","","en","","","","","pdk.sagepub.com","","","","","http://pdk.sagepub.com/content/96/5/19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTSJNKL7","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2017-09-19 02:55:58","2017-09-19 02:55:58","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZ5NCCBJ","videoRecording","2013","Poulson, Barton","Up and Running with R","","","","","http://www.lynda.com/R-tutorials/Up-Running-R/120612-2.html?org=nyu.edu","Introduces the R statistical processing language, including how to install R, read data from SPSS and spreadsheets, analyze data, and create charts and plots.","2013-04-04","2017-09-19 02:55:58","2017-09-19 02:55:58","2016-01-17 18:03:03","","","","","","","","","","","","Lynda.com","","","","","","","","","","","","http://www.lynda.com/R-tutorials/Up-Running-R/120612-2.html?org=nyu.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDEILXTX","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2017-09-19 02:55:59","2017-09-19 02:55:59","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>Key Notes:</p> <p>Education is personal, hard to define, and hard to measure.</p> <p> </p>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBIARCQZ","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2017-09-19 02:55:59","2017-09-19 02:55:59","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>Key Notes:</p> <p>Information gets diffuse and misconstrued</p> <p> </p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8RJ5PRH","webpage","2015","RStudio","The Data Wrangling Cheatsheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015-01","2017-09-19 02:55:59","2017-09-19 02:55:59","2016-01-18 18:42:27","","","","","","","","","","","","","","","","","","","","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DIKQ4EY","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2017-09-19 02:55:59","2017-09-19 02:55:59","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p>Key notes:</p> <p>""Learning  Design  can  provide an account of pedagogical  intent that can provide useful context  for  interpreting learning analytics, and earning   analytics can provide particularly useful insight to  underpin the  process of Learning Design. So, for instance, some Data Wranglers  were  able to  attend  or even facilitate Learning  Design workshops, to help the process of closing the feedback loop.""</p> <p>""A  less  positive  theme was the unevenness of the  process  across Faculties. The reports were all produced to the same template, and  based on the same  data  sources, but the  analysis and recommendations varied, as  did  the  quality of the  conversation between the Data Wrangler and Faculty members. Other concerns  raised  included the  timing of the  reports and  which courses were included""</p> <p>""Perhaps  the  largest  issue  was  data  quality. One  serious  misinterpretation of VLE/LMS  activity  data arose  during  the  project,  and  the  quality  and  resolution  of  the  delivery data was  perceived as a serious  obstacle""</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLAEQY8C","magazineArticle","2015","Kucirkova, Natalia; FitzGerald, Elizabeth","Zuckerberg is ploughing billions into 'personalised learning' – why?","The Conversation","","","","http://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940","Zuckerburg wants to plough billions into personalised learning, but his way may not be the right way.","2015-12-09","2017-09-19 02:55:59","2017-09-19 02:55:59","2016-01-18 19:14:05","","","","","","","","","","","","","","","","","","","","","","","","https://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLHY29DJ","videoRecording","2015","Georgia Tech","Feature Selection","","","","","https://www.youtube.com/watch?v=8CpRLplmdqE","","2015-02-23","2017-09-19 02:55:59","2017-09-19 02:55:59","2016-01-18 19:18:06","","","","","","","","","","","","Youtube","","","","","","","","","","","","https://www.youtube.com/watch?v=8CpRLplmdqE","","","","","","","","","","","","","","","Udacity","","","","","","","","3:13","","","","","","","","","","","","","","","","","","","","","","","","",""
