"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VUSBL4SV","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:43:58","2019-09-17 21:43:58","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Measurement</p> <ul> <li>defining the construct <ul> <li>construct - latent variable</li> </ul> </li> <li>specifying a measurement model and developing a reliable instrument <ul> <li>measurement model: formal mathematical relationship between a latent variables or set of variables and an observable variable or set of variable <ul> <li>distribution for latent variable</li> <li>distribution for the observed variable</li> <li>functional relationship between them</li> </ul> </li> <li>instruments: measurement scale eg. tests/questionnaires <ul> <li>efficiency and standardization</li> </ul> </li> <li>reliability: measurement of the consistency of the score alpha(0,1) OR test-retest reliability: correlation/ inter-rater reliability: kappa</li> </ul> </li> <li>analyzing and accounting for various sources of error <ul> <li>measurement error: any variance in the data not attributed to the construct</li> </ul> </li> <li>framing a valid argument for particular uses of the outcome <ul> <li>validity: degree to which evidence and theory support the interpretations of test scores for proposed used of tests</li> </ul> </li> </ul> <p>Latent variable Models</p> <ul> <li>factor model: L-con, O-con <ul> <li>correlations</li> <li>exploratory factor analysis:  determine the number of latent factors from data without strong theoretical assumptions and is commonly part of scale development; requires decision</li> <li>confirmatory factor analysis: complementary set of techniques to test a theoretically proposed factor model by<br />examining residuals between expected and observed correlation</li> </ul> </li> <li>item response model: L-con, O-cate <ul> <li>modelling individual person-item interactions</li> </ul> </li> <li>latent mixture model: L-cate, O-con</li> <li>latent class models: L-cate, O-cate</li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DL5YWRHE","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:43:58","2019-09-17 21:43:58","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Ethical issues:</p> <ul> <li>the location and interpretation of data</li> <li>informed consent, privacy, and the de-identification of data</li> <li>the management, classification, and storage of data</li> </ul> <p>Six principles ( Slade and Prinsloo, 2013)</p> <ul> <li>learning analytics as moral practice-effective+appropriate,morally necessary</li> <li>students as agents-engaged as collaborators</li> <li>student identity and performance as temporal dynamic constructs</li> <li>student success as a complex, multidimensional phenomenon</li> <li>transparency as important</li> <li>higher education cannot afford not to use data</li> </ul> <p>practical considerations</p> <ul> <li>development of a thorough understanding of who benefits</li> <li>establishment of institutional positions on consent, de-identification and opting out</li> <li>issues around vulnerability and harm</li> <li>systems of redress</li> <li>data collection, analyses, access, and storage</li> <li>governance and resource allocation</li> </ul> <p>six elements-basis for a student-centred learning analytics</p> <ul> <li>aggregated, non-personalized data</li> <li>full knowledge of which data is collected and how it is used</li> <li>personal data records are complete and up to date</li> <li>surveillance of activities and harvesting of data must not harm student progress</li> <li>output should be subject to human review</li> <li>algorithms should eb frequently reviewed and validated</li> </ul> <p>8 principles (OU, 2014)</p> <ul> <li>ethical practice</li> <li>responsibility to all stakeholders to use and extract meaning from data</li> <li>students should not be wholly defined by the data</li> <li>purpose and boundaries should be will defined</li> <li>university is transparent regarding data collection</li> <li>engaged as active agents</li> <li>modelling and interventions should be sound and free from bias</li> <li>adoption requires broad acceptance of the value and benefit</li> </ul> <p>4 principles (Engelfriest et al., 2015)</p> <ul> <li>info only used in the context and purpose</li> <li>subsequent use of data should be reconcilable with the original context</li> <li>carefully collected and analyzed</li> <li>only collected when the purpose is explicitly clear</li> </ul> <p>future consideration</p> <ul> <li>potential conflicts between students' concern</li> <li>their right to opt-out</li> <li>balancing optimism around AI, machine learning, and big data</li> <li>critical approach to consider the ethical implications of learning analytics</li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XL5U3D85","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:43:58","2019-09-17 21:43:58","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>process, practice, challenges of using predictive modelling in teaching and learning</p> <p>EDM &amp; LA - predict student success -&gt; academic achievement</p> <p>steps must consider + most popular techniques in the field</p> <p>predictive modelling workflow</p> <ul> <li>problem identification</li> <li>data collection</li> <li>classification &amp; regression</li> <li>feature selection</li> <li>methods for building predictive models <ul> <li>linear regression</li> <li>logistic regression</li> <li>nearest neighbors classifiers</li> <li>decision trees</li> <li>naive bayes classifiers</li> <li>bayesian networks</li> <li>support vector machines</li> <li>neural networks</li> <li>ensemble methods</li> </ul> </li> <li>evaluating a model</li> <li>practice <ul> <li>identify students at risk</li> <li>detect learners who are engaging in off-task behavior</li> </ul> </li> <li>challenges and opportunities <ul> <li>support non-computer scientists in predictive modelling activities</li> <li>creating community-led educational data science challenge initiatives</li> <li>engaging in second order predictive modelling</li> </ul> </li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQPELAFR","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:43:58","2019-09-17 21:43:58","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Predictive VS explanatory model</p> <ul> <li>predictive models aim to find a combination of features that best predict outcomes - accuracy <ul> <li>that it fits well</li> </ul> </li> <li>explanatory model seek to identify interpretable causal relationships between constructs that can be either observed/inferred from the data <ul> <li>why it fits well</li> </ul> </li> <li>educational data mining research <ul> <li>statistical model <ul> <li>outer loop of intelligent tutoring system - based on performance</li> </ul> </li> <li>cognitive model <ul> <li>representations of the knowledge space (facts, concepts, skills..) underlying a particular educational domain</li> <li>basis-&gt;better prediction</li> <li>discover &amp; refine cognitive model -&gt; alleviate expert bias+reduce load on human input <ul> <li>difficulty factors assessment(DFA)<br /> <ul> <li>to identify and validate cognitive model improvements</li> </ul> </li> <li>Learning Factors Analysis <ul> <li>further alleviate demands on human time</li> </ul> </li> <li>SimStudent - state-of-theart machine-learning agent<br /> <ul> <li> discover cognitive models automatically without requiring existing ones</li> </ul> </li> </ul> </li> <li>modelling student-specific variability -&gt; better predictive accuracies + inform instruction<br /> <ul> <li>grouping students</li> </ul> </li> <li>importance of interpretability and actionability educational data mining effort <ul> <li>clean</li> <li>maps well</li> <li>fewer estimated parameters (independent variables/features)</li> </ul> </li> </ul> </li> </ul> </li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRSPRI7Y","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:43:59","2019-09-17 21:43:59","","134-136","","","","","","","","","","","","","","","","","","","","","<p>two decision</p> <ul> <li>who is your target audience</li> <li>what are you trying to show</li> </ul> <p>guiding principles</p> <ul> <li>avoid distracting elements</li> <li>use informative color to visually associate element</li> <li>keep the figure simple</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PUG6MPV","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:43:59","2019-09-17 21:43:59","","","","","","","","","","","","","","","","","","","","","","","<p>Graphical displays</p> <ul> <li>statistical side: find effective and precise ways of representing data</li> <li>infovis: grab the readers' attention and tell them a story</li> </ul> <p>Goal</p> <ul> <li>discovery goals</li> <li>communication goals</li> </ul> <p>5 best data visualization project</p> <ul> <li>Wordle</li> <li>decision tree</li> <li>radiohead music video</li> <li>box office streamgraphs</li> <li>I want you to want me video</li> </ul> <p>stats problem</p> <ul> <li>plane crashes</li> <li>florence nightingale's coxcomb</li> <li>health spending and life expectancy</li> <li>how to win in afganistan</li> </ul> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJ3JTNF8","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:43:59","2019-09-17 21:43:59","","","","","","","","","","","","","","","","","Blog","","","","","","<p>Junk charts trifecta checkup - general framework for data visualization crticism</p> <ul> <li>what is the QUESTION</li> <li>what does the DATA say</li> <li>what does the VISUAL say</li> </ul> <p>eight types of critiques</p> <ul> <li>trifecta</li> <li>the singles: type Q, D, V</li> <li>doubles: QD, QV, DV</li> <li>triple:QDV</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVXMS62S","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:43:59","2019-09-17 21:43:59","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>3DM - Data driven decision making</p> <ul> <li>powerful means</li> <li>flooded with data</li> <li>one purpose: help drive decisions on improving specific school, teacher and student outcomes</li> </ul> <p>Teacher-Assigned Gardes</p> <ul> <li>long history of predicting overall student outcomes(graduating/dropping out)</li> <li>25%-assess academic knowledge+75% assess student ability to negotiate the social processes of school</li> <li>overall student outcomes</li> </ul> <p>Purpose: combine 3DM and teacher-assigned grades by hierarchical cluster analysis(HCA) + heatmaps</p> <ul> <li>dropout by grades <ul> <li>overly concentrated on course failures in core courses - all subjects capture the pattern</li> <li>require using of multiple variables in addition to grades, attendance, unsatisfactory behavior - score alone is useful</li> <li>overly focused on single grade level - over time</li> <li>overly relied on achievement in core courses - all courses</li> </ul> </li> </ul> <p>Hierarchical Cluster Analysis: descriptive statistical analysis that brings empirical defined organization to a set of previously unorganized data</p> <ul> <li>supervised <ul> <li>begin with a defined set of assumptions about categorization of the data</li> </ul> </li> <li>unsupervised <ul> <li>assume nothing about the categorization&amp;designed to statistically discover the underlying structure patterns within the dataset</li> </ul> </li> </ul> <p>HCA</p> <ul> <li>each case is first defined as an individual cluster, a series of numbers for each variable on that case</li> <li>all data standardized into z-score</li> <li>distance measure -&gt; similarity/dissimilarity matrix e.g. uncentered correlation</li> <li>iterated clustering algorithm at each level: 2 most similar cases join first</li> <li>reorder the cases into clusters</li> <li>visualization: cluster tree/dendrogram</li> </ul> <p>Heatmap: convert the table into blocks of color</p> <p>missing data</p> <ul> <li>not all students take all of the same subjects</li> <li>many students drop out of the school before the end of grade 12|transfer into/out to this district</li> </ul> <p> </p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GG84W9CF","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:44:00","2019-09-17 21:44:00","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Social network Analysis (SNA)</p> <ul> <li>social network basics <ul> <li>group of actors and their connections between makes a network</li> </ul> </li> <li>network types <ul> <li>unipartite</li> <li>bipartite</li> <li>undirected vs directed</li> <li>binary/valued</li> </ul> </li> <li>network data collection <ul> <li>Egocentric <ul> <li>focus on a sample of individuals</li> </ul> </li> <li>census/whole <ul> <li>collect data from an entire bounded population of actors</li> </ul> </li> </ul> </li> <li>network level concepts and measures <ul> <li>density: how many ties are present</li> </ul> </li> <li>actor-level variables <ul> <li>centrality: degree, closeness, betweenness, eigenvector centrality</li> </ul> </li> </ul>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBZ9S7UB","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:44:00","2019-09-17 21:44:00","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<ul> <li>technology - give educators data on students and ability to customize teaching materials -&gt; nurture every single individual</li> <li>average learner: groups vs individuals; average not most</li> <li>personal pattern, contextualized profile of the performance and need</li> <li>user should own their data</li> </ul> <p> </p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
