"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"73C4J82D","journalArticle","","Siemens, George; Baker, Ryan S J.d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","","","","","","","","2019-09-10 04:04:43","2019-09-10 04:07:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2Y268HD","journalArticle","","Siemens, George","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","","","","","","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities – Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","","2019-09-10 04:08:32","2019-09-10 04:08:32","","3","","","","","","","","","","","","","en","","","","","Zotero","","","<p>This paper discussed the importance of communication and collaboration between Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK), as data in the education field is drawing more and more attention. One of the major reasons to this rising interest in data in education is that through extracting and analyzing these data, it allows scientists to understand better and find ways to improve learning processes in formal settings, as well as non-traditional learning environments, such as websites. Both EDM and LAK serve important roles, however, they do have their own similarities and differences. To help both communities grow, this paper outlines benefits both communities will gain through communication and collaboration. The most significant similarity will have to be their shared goal of using data and methods to understand and optimize learning. Some of the areas in the education field that scientists can be informed of and make adjustments to are assessments, the way problems are understood, and ways in which interventions are planned and selected. On the other hand, one major distinction between the two communities would be their approach to systems. EDM typically breaks down a system into parts, whereas LAK views the system as a whole.</p>","/Users/maho/Desktop/TC/Fall 2019/Data Mining/Readings/Week 2/LAKs reformatting v2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DR4H48NS","book","2014","Grolemund, Garrett","Hands-on programming with R","","978-1-4493-5901-0","","","","","2014","2019-09-10 09:23:58","2019-09-10 09:23:58","","","230","","","","","","","","","","O'Reilly","Sebastopol, CA","en","","","","","Library of Congress ISBN","QA276.45.R3 G76 2014","OCLC: ocn887746093","<p>Ch. 1 Project 1: Weighted Dice</p> <p>The existence of computer has spared us from having to memorize and recall data and to perform complex calculations quickly. With computer’s aid, we could put our energy on understanding the data and making decision. This chapter introduced the first project that involves R code to build a dice. Through this exercise, we will learn an overview of the components of R — objects, data types, classes, notation, functions, environments, if trees, loops, and vectorization.</p> <p> </p> <p>Ch. 2 The Very Basics</p> <p>In the dice exercise, the RStudio is introduced as the application to run R codes. In RStudio, the code we type is a <em>command</em> given for the computer to perform something. A line we type in is called a <em>command line</em>. The exercise provides a step by step guide that helps learners familiarize with the symbols and functions that operate in RStudio.</p> <p> </p> <p><strong>#</strong> <span style=""font-family: Wingdings;"">à</span> commenting symbol. Allows people to add comments and annotations to code.</p> <p>By pressing ctrl + c, you can cancel a command</p> <p><strong>: </strong><span style=""font-family: Wingdings;"">à</span> allows you to create group of numbers from 1 to 6 (ex: 1:6 <span style=""font-family: Wingdings;"">à</span> 1, 2, 3, 4, 5, 6)</p> <p><strong>R Object</strong> <span style=""font-family: Wingdings;"">à</span> just a name to call up stored data. For example, you can save data into object like <em>a </em>and <em>b</em>. Wherever R encounters the object, it will replace it with the data saved inside.</p> <p> </p> <p>R object naming rule <span style=""font-family: Wingdings;"">à</span> <span style=""color: #333333; letter-spacing: .15pt; background: white;"">You can name an object in R almost anything you want, but there are a few rules. First, a name cannot start with a number. Second, a name cannot use some special symbols, like </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">^</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">!</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">$</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">@</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">+</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">-</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">/</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">, or </span><span style=""color: #333333; letter-spacing: .15pt; border: none windowtext 1.0pt; padding: 0cm; background: #F7F7F7;"">*</span><span style=""color: #333333; letter-spacing: .15pt; background: white;"">:</span></p> <p> </p> <p> </p> <p>Ch. 3</p> <p>Two tools are introduced in this chapter: <em>repetition</em> and <em>visualization</em>. These functions are part of the R package, which consists of many useful tools.</p> <p> </p> <p><strong><em>Replicate</em></strong> function <span style=""font-family: Wingdings;"">à</span> does the repeating</p> <p><strong><em>qplot</em></strong> function (ggplot2 package)<span style=""font-family: Wingdings;"">à</span> visualize <span style=""font-family: Wingdings;"">à</span> <u><span style=""font-family: 'Times New Roman',serif; color: blue;""><a href=""https://cran.r-project.org/""><span style=""color: blue;"">https://cran.r-project.org</span></a></span></u></p> <p> </p> <p> </p>","/Users/maho/Desktop/TC/Fall 2019/Data Mining/Readings/Week 2/OReilly_HandsOn_Programming_with_R_2014.pdf","","","Data processing; Handbooks, manuals, etc; Mathematical statistics; Programmeertalen; R (Computer program language); Statistiek","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZIZFS6L","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:50:02","2019-09-17 21:50:02","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""font-size: 10.0pt;"">Making inference from the metrics </span></p> <p><span style=""font-size: 10.0pt;"">Disagreements in defining data analytics </span></p> <p><span style=""font-size: 10.0pt;""> </span></p> <p><span style=""font-size: 10.0pt;"">Being clear on what specifically that you want to do --&gt; </span><span style=""font-size: 10.0pt;"">in a loop as you have to keep going back and restate It </span></p> <p> </p> <p><span style=""font-size: 10.0pt;"">Characteristics </span></p> <ul> <li><span style=""font-size: 10.0pt;"">Should be specific/tightly defined </span></li> <li><span style=""font-size: 10.0pt;"">Should be measurable </span></li> <li><span style=""font-size: 10.0pt;"">Should be attainable </span></li> <li><span style=""font-size: 10.0pt;"">Should be time-limited (setting a time frame) </span></li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV24CKES","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:50:02","2019-09-17 21:50:02","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4X4V5BH","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:50:02","2019-09-17 21:50:02","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><strong>Ground truth</strong>: data that is available, relevant, most trustworthy to train your model</p> <p><strong>Baseline:</strong> initial measurement</p> <p><strong>Gold standard:</strong> comparative measurement</p> <p> </p> <p>Precision &amp; Recall (Sensitivity)</p> <p> </p> <p><strong>Precision</strong>: True Positive/ True positive + false positive</p> <p><strong>Recall</strong>: True positive/true positive + False negative (how many times we miss)</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLXTQKBP","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:50:02","2019-09-17 21:50:02","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><strong><u>Quantified self vs. quantified student </u></strong></p> <p> </p> <p>Quantified self (QS)</p> <ul> <li>Physical/biological data</li> <li>Optimization</li> </ul> <p><strong><u>Multi-Modal Learning: </u></strong></p> <ul> <li>The use and integration of different modalities (sensors) present in learning activity.</li> <li>Having multiple sensors doesn’t necessarily mean it’s effective.</li> </ul> <p>Having students create data and inviting them to participate and interpret the data they collected and documented.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZN3HKWP8","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:50:02","2019-09-17 21:50:02","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"278ZZA7D","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:50:02","2019-09-17 21:50:02","","","","","","","","","","","","","","","","","","","","","","","<p>Infographics <span style=""font-family: Wingdings;"">--&gt; </span>turning numbers into useful information</p> <p> </p> <p><strong>Visualization </strong></p> <ul> <li>Creative decision (how is this going to make an impact)</li> <li>Technical decision (certain types of data)</li> <li>Demonstrate data demographically (usually a select of things, never everything)</li> <li>to demonstrate a point <span style=""font-family: Wingdings;"">--&gt; </span>to stand out</li> <li>Don’t distort the data to make a point</li> <li>Take context into considerations</li> </ul> <p><span style=""text-decoration: underline;""><strong>Description, exploration, tabulation, decoration</strong></span></p> <ul> <li>Decoration --&gt; the background</li> <li>Tabulation <span style=""font-family: Wingdings;"">--&gt; </span>to compare groups</li> <li>Exploration </li> <li>Description <span style=""font-family: Wingdings;"">--&gt;</span> Show overall trends, characteristics of situations</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FCVEFYH","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:50:02","2019-09-17 21:50:02","","","","","","","","","","","","","","","","","Blog","","","","","","<p>“Chartjunk” <span style=""font-family: Wingdings;"">à</span> portions on chart that are unnecessary. Serves no purpose or has no messages. Non-informative<strong></strong></p> <p><span style=""text-decoration: underline;""><strong>What's trifecta checkup? </strong></span></p> <p>It's a framework for data visualization criticism. It helps you articulate your opinions and criticism better. </p> <p><span style=""text-decoration: underline;""><strong>Trifecta Checklist:</strong> </span></p> <p>What is the question?</p> <ul> <li>What's the reason behind the project. What's the problem statement and is there really a problem?</li> </ul> <p>What does the data say?</p> <ul> <li>The data should be relevant to the question.</li> <li>To increase relevance, we can reduce noise and remove errors in the data.</li> </ul> <p>What does the visual say?</p> <ul> <li>The visual element should represent the data and reflect the the question directly.</li> </ul> <p> </p> <p><span style=""text-decoration: underline;""><strong>8 types of critiques:</strong> </span></p> <p>- the trifecta</p> <p>- Type Q (Single)</p> <p>- Type D (Single) </p> <p>- Type V (Single) </p> <p>- Type QD (double)</p> <p>- Type QV (double) </p> <p>- Type DV (double) </p> <p>- Type QDV (Triple)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
