"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EJWHHCPH","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2017-09-14 16:00:46","2017-09-14 16:00:46","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>3DM: data driven decision making</p> <p>Teacher-assigned grades is a useful data in school</p> <p>visualizing data for 3DM in schools</p> <p>Methods: hierarchical cluster analysis/clustergram</p> <p>Future research can focus on comparing distance measures and clustering algorithms to improve the method.</p> <p> </p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXNRFNX6","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2017-09-14 16:00:47","2017-09-14 16:00:47","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<div class=""page"" title=""Page 8""> <div class=""layoutArea""> <div class=""column""> <ul> <li><span style=""font-size: 9.000000pt; font-family: 'Palatino';"">""In performing SNA, visualizing the network is often the first step taken"".</span></li> <li><span style=""font-size: 9.000000pt; font-family: 'Palatino';"">""A variety of approaches exists to explore the structure of networks, to infer the processes generating those structures, and to quantify the relationships among those structures and the flow of entities on them, with a recent trend away from description and toward more inferential models"".</span></li> <li> <div class=""page"" title=""Page 8""> <div class=""layoutArea""> <div class=""column""> <p><span style=""font-size: 10pt; font-family: 'Palatino';""><span style=""font-size: 9.000000pt; font-family: 'Palatino';"">""Goal: Inherently interested in what drives student learning and the kinds of environments that maximize the process"".</span></span></p> <p><span style=""font-size: 9.000000pt; font-family: 'Palatino';""> </span></p> </div> </div> </div> </li> </ul> </div> </div> </div>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRIRPVNC","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2017-09-14 16:00:47","2017-09-14 16:00:47","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<h1>Why Students Should Own Their Educational Data</h1> <p>L. Todd Rose- ""Center for Individual Opportunity""<span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;""><br /></span></p> <p>1. average learber: we know now that you can’t actually tell anything in population studies about any individual in that group.</p> <p>2. Aggregate data was all we had.</p> <p>trend: looking for personal patterns across dimensions.</p> <p>3. In classroom: personality and learning varies across contexts.</p> <p>4. MOOCs with AI can transform education?</p> <p>The user should own their data. A third party who can protect learner data.</p> <p> </p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSSAXLXX","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2017-09-14 16:00:47","2017-09-14 16:00:47","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>Knowledge tracking: modeling the acquisition of procedural knowledge</p> <p>1. The ACT programming tutor</p> <p>2. The cognitive model</p> <p>3. Empirical evaluations of knowledge tracing</p> <p>Goal: implement a simple student modeling process that would allow the tutor to monitor the student's knowledge state and tailor the sequence of practice exercises to the students' needs.</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FBXWMGGK","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2017-09-14 16:00:47","2017-09-14 16:00:47","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<h2>1. Similarities</h2> <ul> <li>data-intensive approaches to education</li> <li>improve education by improving assessment</li> <li>improve the quality of analysis of large-scale educational data</li> </ul> <h2>2. Distinctions</h2> <ul> <li>type of discovery: LAK (leverage human judgment); EDM (automated discovery)</li> <li>type of adaption: LAK (inform and empower instructors and learners); EDM (automated adaption)</li> <li>frameworks: LAK (Holism); EDM (Reduction)</li> </ul> <h2> 3. Call for communication and collaboration</h2>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9C8UPDB","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2017-09-14 16:00:47","2017-09-14 16:00:47","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p>Evaluating Metrics</p> <p>Classification Metrics</p> <ul> <li>accuracy</li> <li>confusion matrix</li> <li>pre-class accuracy</li> <li>Log-loss</li> <li>AUC</li> </ul> <p>Ranking Metrics</p> <p>    Precision-Recall</p> <ul> <li>Precision-Recall Curve and the F-1 SCore</li> <li>NDCG</li> </ul> <p>Regression Metrics</p> <ul> <li>RMSE(root-mean-square error)</li> <li>Quantiles of Errors</li> </ul> <p>Caution:</p> <ul> <li>the difference between training metrics and evaluation metrics</li> <li>skewed datasets-imbalanced classes, outliers, and rare data</li> </ul> <p> </p> <p> </p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z46VJHQ4","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2017-09-14 16:00:47","2017-09-14 16:00:47","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<h1>Why Students Should Own Their Educational Data</h1> <p>L. Todd Rose- ""Center for Individual Opportunity""<span style=""color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-size: 18px; font-style: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;""><br /></span></p> <p>1. average learber: we know now that you can’t actually tell anything in population studies about any individual in that group.</p> <p>2. Aggregate data was all we had.</p> <p>trend: looking for personal patterns across dimensions.</p> <p>3. In classroom: personality and learning varies across contexts.</p> <p>4. MOOCs with AI can transform education?</p> <p>The user should own their data. A third party who can protect learner data.</p> <p> </p>","","","","Learning; Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYM2M57N","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2017-09-14 16:00:48","2017-09-14 16:00:48","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>""War is politics by other means. Once education is politics, it must have soldiers by other means""</p> <p>question: what is the role of data scientists in education policies?</p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XINQJX8W","webpage","2015","RStudio","The Data Wrangling Cheatsheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015-01","2017-09-14 16:00:48","2017-09-14 16:00:48","2016-01-18 18:42:27","","","","","","","","","","","","","","","","","","","","","","<h1>Data Wrangling</h1> <h2>Reshaping data</h2> <p>gather (): wide to long</p> <p>spread (): long to wide</p> <p>separate()/unit()</p> <h2>Subset Observations (Rows)</h2> <h2>Subset Variables (Columns)</h2> <h2>Summarize Data</h2> <h2>Make New Variables</h2> <h2>Group Data</h2> <h2>Combine Data set</h2> <p> </p>","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPM5CIU7","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2017-09-14 16:00:48","2017-09-14 16:00:48","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<div title=""Page 1""> <div> <div> <div title=""Page 2""> <div> <div> <h2>Introduction</h2> <p>""...sense-making and social processes are important because of the complexity of the data and because “learning is a complex social activity”</p> <div title=""Page 2""> <div> <div> <p>“A learning analytics system may be used simply to attempt to achieve set goals (single-loop learning); greater value and insight will come if those goals themselves can be interrogated, challenged, and developed (double-loop learning).”</p> <h2>Context and role of data wranglers</h2> <p><span style=""font-size: 9.000000pt; font-family: 'Times New Roman';"">1. Survey feedback data from students, gathered at the end of their course.</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'Times New Roman';"">2. Activity data from the VLE/LMS (Moodle).</span></p> <p><span style=""font-size: 9.000000pt; font-family: 'Times New Roman';"">3. Delivery data about the mode of delivery and structure of courses (e.g. what use each course makes of online forums).<br /> 4. </span><span style=""font-size: 9.000000pt; font-family: 'Times New Roman';"">Aggregated completion, pass rate and demographic data. </span></p> <div class=""page"" title=""Page 3""> <div class=""layoutArea""> <p><span style=""font-size: 9.000000pt; font-family: 'Times New Roman';"">The role of the Data Wrangler is not only to analyse the data, but to increase the familiarity of academics with the data sources, to build learning analytics capacity as part of a Community of Practice. </span></p> <h2 class=""column"">Evaluation</h2> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
