"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JP65LJVL","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 22:27:11","2019-09-17 22:27:11","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Learning analytics can either support current educational practices or challenge them.</p> <p>Six questions to consider when creating learning analytics to make sure the tool will help learners and not hinder them:</p> <ul> <li>What are we measuring?</li> <li>How are we measuring?</li> <li>Who is the assessment/analytic for?</li> <li>Why is this knowledge important to us?</li> <li>Where does the assessment happen?</li> <li>When does the assessment and feedback occur?</li> </ul> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JH6JLQV5","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 22:27:12","2019-09-17 22:27:12","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Policies and ethics regarding with institution using student data have not kept pace as learning analytics becomes more establishes and needs to use student data. It's been agreed that high education institution have the right to collect and use student information but no one can agree on if student can and/or should consent to having their information collected.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JPXRKWZ","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 22:27:12","2019-09-17 22:27:12","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Predictive analytics are a group of techniques used to make inferences about uncertain future events. The goal of explanatory modelling is to use all available evidence to provide an explanation for a given outcome. The purpose of predictive modeling is to create a model that will predict the value of new data based on observations. Unlike explanatory modeling, predictive modeling is based on the assumption that a set of known data (referred to as training instances in data mining literature) can be used to predict the value or class of new data based on observed variables. Explanatory modeling does not many any claims about the future, while predictive modeling does.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CLPN5N5","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 22:27:12","2019-09-17 22:27:12","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Educational data mining research has largely focused on developing two types of modes: the statistical model and the cognitive model. Statistical models drive the outer loop of intelligent tutoring system based on observable features of students' performance as they learn. Cognitive models are representations of the knowledge space underlying a particular educational domain. Cognitive models map knowledge components to problem steps or task on which student performance can be observed. This mapping provides a way for statistical models to make inferences about students' underlying knowledge based on their observable performance on different problem steps.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2LQM8IT","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 22:27:13","2019-09-17 22:27:13","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L99UVZDH","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 22:27:13","2019-09-17 22:27:13","","","","","","","","","","","","","","","","","","","","","","","<p>Infovis and statistical graphics approaches designing graphs differently. Infovis are interested in grabbing the readers' attention while statisticians are interested in making sure the readers can get the most data out of the graph. Infovis does a great job of creating unique and interesting graphs. The only negative part is that the graphs they create may be hard to interpret or there isn't much to interpret. Statistician on the other hand, usually create more ""boring"" graphs, like bars and charts, but you are able to decipher the data from the graphs. The author believes if both groups work together, they can come up with interesting graphs that can also be useful to readers'.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM9AFEYK","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 22:27:13","2019-09-17 22:27:13","","","","","","","","","","","","","","","","","Blog","","","","","","<p>Kaiser Fung provides a ""Junk Charts Trifecta Checkup"", which is a framework to think about when viewing data visualization. It involves three questions to think about viewing data visualization:</p> <ul> <li>What is the question?</li> <li>What does the data say?</li> <li>What does the visual say?</li> </ul> <p>This makes it easier to critique any graphs that infovis or statistician creates. The only part this framework is missing is that it doesn't think about how can we make the graph more visually appealing. The visual may represent the data in a concise, clear manner but it may be boring to the viewer so it doesn't grab their attention.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WG3FC9KV","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 22:27:14","2019-09-17 22:27:14","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>This study took a look at longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district, demonstrates using hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Hierarchical cluster analysis and pattern visualization methods provides an useful way to visualize and assess an entire disaggregated data history pattern for a student in comparison with every other student's data pattern in a sample. The clustergram allows for the visualization and interpretation of every data point.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDC2RA5A","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 22:27:15","2019-09-17 22:27:15","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>This article gives a good insight of how we can use social network to investigate classroom-scale hypotheses to ultimately inform better instruction. Reading about why R has one of the most complex statistical capabilities for SNA and why matrices is a powerful way to store and represent social network data, helped tied what we're learning in class to this article. It also gives a good overview on how to think about collecting and analysis data in SNA.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRPDRISD","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 22:27:16","2019-09-17 22:27:16","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Mr. Rose believes there are no ""average"" people so when anything is designed for the ""average"" person, it actually ends up not fitting anyone. Instead, people have ""jagged profile"", meaning people are strong and weak in different areas, even in learning. If teachers knows what type of learning style he/she has in the classroom, they might be able to group students in different learning style to try to reach more students in the lesson. If students own their educational data, they will have more ownership on how they learn.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
