"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2YWB28NB","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:49:47","2019-09-17 21:49:47","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>In the big data era, people don't need to make a guess on how things work, the data will show everything to people. Learning analytics and educational data mining are the two product of the big data era. Educators and researchers are now using these two new method to examine the educator and students' performance. Learning analytics, as a new form of assessment instrument, have potential to support current educational practices, or to challenge them and reshape education. The most important thing for researcher to be clear is how to use these two method correctly. Tools can be used in many ways, and should not be isolated from their context of use.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3B4TQJG","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:49:47","2019-09-17 21:49:47","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Learning analytic, as a new emerging technology, is facing lots of problems, but people also have so much expectation on it. There is some consensus that the future of learning<br />will be digital, distributed, and data-driven such that education ""enables quality of life and meaningful employment through (a)exceptional quality research;(b)sophisticated data collection and; (c) advanced machine learning and human learning analysis/support"". </p> <p>Ethical implications around the collection, analysis, and use of student data brings benefit along as risks and conflicts. <br /><br /></p> <p>At first, people in Learning Analytic are only consider problems related to data governance, data security, and privacy issues, but as the Learning Analytic group growing, the problem now grows beyond the boundary. ""how student data is used and under what conditions"" is the priority ethical problem needed to be solved.<br /><br /></p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4THTSGC","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:49:47","2019-09-17 21:49:47","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>explanatory modeling is to use all available evidence to provide an explanation for a given outcome. understanding a happened phenomenon</p> <p>predictive modeling is to create a model that can be used to   predict values of new data based on observations.</p> <p>While both methods intend to inform the design of intervention systems, the former does so by building software based on theory developed during the review of explanatory models by experts, the later us using collected data from historical log files</p> <p>The feature, cross validation, is also a key factor of predictive model that makes it more generalized.</p> <p>accuracy of model increases when size of of available data increases.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V9QU23U","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:49:48","2019-09-17 21:49:48","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>better cognitive model lead to better prediction of what student knows.</p> <p>expert-engineered cognitive models often ignore content distinctions that are important for novice learners.</p> <p>The method  for cognitive model refinement iterates following steps: 1)inspect learning curve visualizations and fitted  AFM coefficient estimates for given KC model, 2) identify problematic KCs  and hypothesize changes to the KC model, 3) refit the AFM with revised KC model and check if revised KC model fits better.</p> <p>One of the benefit of SimStudent is that it can simulate features of novices’ learning trajectory of which domain experts may not even be aware. </p> <p>Methods like LFA still require human input as a cited lmitation.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GH8FMUXL","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:49:48","2019-09-17 21:49:48","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WXMCPP3","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:49:48","2019-09-17 21:49:48","","","","","","","","","","","","","","","","","","","","","","","<p>The sorts of graphs we do best are being squeezed from<br />both ends, from one direction by the good-enough bar plots that just about anyone can make in Excel, and from the other by the beautiful professionally-designed images that are the Armani suits to our clunky plaid shirts with pocket protectors.</p> <p>the first consumer of any graph is the person who makes it, and it can often be useful to use “presentation” skills to communicate to ourselves as well as to others.</p> <p>“Graphs are exceptionally powerful tools for data analysis.”</p> <p>“There is no statistical tool that is as powerful as a well-chosen graph.”</p> <p>“Diagrams prove nothing, but bring outstanding features readily to the eye.”</p> <p>Graph should be a strong tool to convey your idea to readers. Use it to communicate with readers but not to prove something.chart</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGF4IV2D","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:49:48","2019-09-17 21:49:48","","","","","","","","","","","","","","","","","Blog","","","","","","<ul style=""box-sizing: border-box; word-break: break-word; margin-top: 0px; margin-bottom: 10px; color: #000000; font-family: Asap; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;""> <li style=""box-sizing: border-box; word-break: break-word;""><span style=""box-sizing: border-box; word-break: break-word; font-size: 11pt; font-family: arial, helvetica, sans-serif;"">What is the<span> </span><span style=""box-sizing: border-box; word-break: break-word; text-decoration: underline;"">QUESTION</span>?</span></li> <li style=""box-sizing: border-box; word-break: break-word;""><span style=""box-sizing: border-box; word-break: break-word; font-size: 11pt; font-family: arial, helvetica, sans-serif;"">What does the<span> </span><span style=""box-sizing: border-box; word-break: break-word; text-decoration: underline;"">DATA</span><span> </span>say?</span></li> <li style=""box-sizing: border-box; word-break: break-word;""><span style=""box-sizing: border-box; word-break: break-word; font-size: 11pt; font-family: arial, helvetica, sans-serif;"">What does the<span> </span><span style=""box-sizing: border-box; word-break: break-word; text-decoration: underline;"">VISUAL</span><span> </span>say?</span></li> </ul> <p><span style=""box-sizing: border-box; word-break: break-word; font-size: 11pt; font-family: arial, helvetica, sans-serif;"">In this article, the author addressed 8 types of problem that a visual may have. Using <span style=""color: #000000; font-family: arial, helvetica, sans-serif; font-size: 14.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Trifecta Checkup framework we can build an intuitive visualization.</span></span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WZBU3H3","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:49:48","2019-09-17 21:49:48","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>teacher-assigned grades have a long history of predicting<br />overall student outcomes</p> <p>teacher-assigned grades could be<br />a useful type of data for 3DM, especially when it comes<br />to early determinations of possible overall student<br />outcomes, such as dropping out of school.</p> <p>This is one of the main purposes of<br />data driven decision-making; using data already collected<br />in schools to help drive decisions on improving specific<br />school, teacher and student outcomes.</p> <p>the central aim of this study is to adapt<br />hierarchical cluster analysis and heatmaps for use with<br />teacher assigned grades for data driven decision-making.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPGFRTPJ","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:49:50","2019-09-17 21:49:50","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Learning process does not happen uniquely in the classroom. Right now, students can have infinite ways to get in touch with new knowledge on social media and network. Classic method that studys only students' in class performance isn't enough to thoroughly understand students. Then, our new method, social network analysis had been introduced to researchers to add impact of social network on undergraduate students for better understanding on students performance. </p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXIIKY3Z","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:49:50","2019-09-17 21:49:50","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>The education system may be better by studying on average model but will never be perfect. The model studying on average point is studying on nothing. If we want the system fits for everyone, we have to have a study on everyone.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
