"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I63QL9DM","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:42:53","2019-09-17 21:42:53","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""left: 543px; top: 361.1px; font-size: 15px; font-family: serif; transform: scaleX(1.1865);"">Validity refers to the degree to </span><span style=""left: 543px; top: 381.1px; font-size: 15px; font-family: serif; transform: scaleX(1.13939);"">which evidence and theory support the interpretations </span><span style=""left: 543px; top: 401.1px; font-size: 15px; font-family: serif; transform: scaleX(1.16464);"">of test scores for proposed uses of tests </span></p> <p><span style=""left: 543px; top: 401.1px; font-size: 15px; font-family: serif; transform: scaleX(1.16464);""><span style=""left: 144px; top: 1023.6px; font-size: 15px; font-family: serif; transform: scaleX(1.27661);"">Reliability is attributed to an instrument and is a </span><span style=""left: 144px; top: 1043.6px; font-size: 15px; font-family: serif; transform: scaleX(1.13565);"">measure of the consistency of scores <br /></span></span></p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UFEVVN5","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:42:53","2019-09-17 21:42:53","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""left: 381.91px; top: 221.1px; font-size: 15px; font-family: serif; transform: scaleX(1.04592);""><span style=""left: 108px; top: 868.6px; font-size: 15px; font-family: serif; transform: scaleX(1.16934);"">The development of analytic approaches in learning </span><span style=""left: 108px; top: 888.6px; font-size: 15px; font-family: sans-serif; transform: scaleX(0.577201);"">involves making decisions about what knowledge </span><span style=""left: 108px; top: 908.6px; font-size: 15px; font-family: serif; transform: scaleX(1.10779);"">will, and will not, be focused on; to measure wh</span><span style=""left: 463.799px; top: 908.6px; font-size: 15px; font-family: serif; transform: scaleX(0.904955);"">at </span><span style=""left: 108px; top: 928.6px; font-size: 15px; font-family: serif; transform: scaleX(1.14691);"">we value rather than value merely that which is eas</span><span style=""left: 460.409px; top: 928.6px; font-size: 15px; font-family: serif; transform: scaleX(0.846021);"">ily measured</span></span><span style=""left: 108px; top: 401.1px; font-size: 15px; font-family: sans-serif; transform: scaleX(0.514196);""><br /></span></p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMMSJMWL","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:42:53","2019-09-17 21:42:53","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""left: 543px; top: 341.1px; font-size: 15px; font-family: serif; transform: scaleX(1.17346);"">When choosing what data to collect, the practitioner </span><span style=""left: 543px; top: 361.1px; font-size: 15px; font-family: serif; transform: scaleX(1.15825);"">should err on the side of collecting more information </span><span style=""left: 543px; top: 381.1px; font-size: 15px; font-family: serif; transform: scaleX(1.20063);"">rather than less, as it may be difficult or impossible </span><span style=""left: 543px; top: 401.1px; font-size: 15px; font-family: serif; transform: scaleX(1.14209);"">to add additional data later, but removing information </span><span style=""left: 543px; top: 421.1px; font-size: 15px; font-family: serif; transform: scaleX(1.14431);"">is typically much easier. Ideally, there would be some </span><span style=""left: 543px; top: 441.1px; font-size: 15px; font-family: serif; transform: scaleX(1.18662);"">single feature that perfectly correlates with the cho</span><span style=""left: 904.668px; top: 441.1px; font-size: 15px; font-family: serif;"">-</span><span style=""left: 543px; top: 461.1px; font-size: 15px; font-family: serif; transform: scaleX(1.17774);"">sen outcome prediction. </span></p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KL2TNF9C","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:42:54","2019-09-17 21:42:54","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""left: 537px; top: 577.67px; font-size: 15px; font-family: serif; transform: scaleX(1.22014);"">Naïve Bayes Classifiers</span><span style=""left: 710.687px; top: 578.6px; font-size: 15px; font-family: serif; transform: scaleX(1.26855);""> assume the statistical </span><span style=""left: 537px; top: 598.6px; font-size: 15px; font-family: serif; transform: scaleX(1.18504);"">independence of each attribute given the classi</span><span style=""left: 868.668px; top: 598.6px; font-size: 15px; font-family: serif;"">-</span><span style=""left: 537px; top: 618.6px; font-size: 15px; font-family: serif; transform: scaleX(1.15531);"">fication, and provide probabilistic interpretations </span><span style=""left: 537px; top: 638.6px; font-size: 15px; font-family: serif; transform: scaleX(1.16205);"">of classifications.</span></p> <p><span style=""left: 537px; top: 638.6px; font-size: 15px; font-family: serif; transform: scaleX(1.16205);""><span style=""left: 537px; top: 665.17px; font-size: 15px; font-family: serif; transform: scaleX(1.14249);"">Bayesian Networks</span><span style=""left: 670.812px; top: 666.1px; font-size: 15px; font-family: serif; transform: scaleX(1.14529);""> feature manually constructed </span><span style=""left: 537px; top: 686.1px; font-size: 15px; font-family: serif; transform: scaleX(1.15368);"">graphical models and provide probabilistic inter</span><span style=""left: 868.691px; top: 686.1px; font-size: 15px; font-family: serif;"">-</span><span style=""left: 537px; top: 706.1px; font-size: 15px; font-family: serif; transform: scaleX(1.18459);"">pretations of classifications.</span></span></p> <p><span style=""left: 537px; top: 638.6px; font-size: 15px; font-family: serif; transform: scaleX(1.16205);""><span style=""left: 537px; top: 706.1px; font-size: 15px; font-family: serif; transform: scaleX(1.18459);""><span style=""left: 537px; top: 732.67px; font-size: 15px; font-family: serif; transform: scaleX(1.18185);"">Support Vector Machines</span><span style=""left: 717.255px; top: 733.6px; font-size: 15px; font-family: serif; transform: scaleX(1.11213);""> use a high dimensional </span><span style=""left: 537px; top: 753.6px; font-size: 15px; font-family: serif; transform: scaleX(1.20814);"">data projection in order to find a hyperplane of </span><span style=""left: 537px; top: 773.6px; font-size: 15px; font-family: serif; transform: scaleX(1.18894);"">greatest separation between the various classes.</span></span></span></p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDJT54SZ","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:42:54","2019-09-17 21:42:54","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6WGK9II","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:42:54","2019-09-17 21:42:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DF9FAXFJ","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:42:54","2019-09-17 21:42:54","","","","","","","","","","","","","","","","","Blog","","","","","","<p><span style=""font-size: 11pt; font-family: arial,helvetica,sans-serif;"">The Data should be relevant to the Question being addressed. Relevance can often be augmented by reducing noise, removing errors or transformations.</span></p> <p><span style=""font-size: 11pt; font-family: arial,helvetica,sans-serif;"">The Visual elements should represent the Data in a clear, concise manner, addressing the Question directly. </span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFPD944L","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:42:54","2019-09-17 21:42:54","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p><span style=""left: 731.8px; top: 854.964px; font-size: 20px; font-family: serif; transform: scaleX(0.896414);"">A heatmap </span><span style=""left: 528px; top: 877.464px; font-size: 20px; font-family: serif; transform: scaleX(0.956139);"">takes tables of clustered </span><span style=""left: 734.9px; top: 877.464px; font-size: 20px; font-family: serif; transform: scaleX(0.970662);"">numbers, which the human </span><span style=""left: 528px; top: 899.964px; font-size: 20px; font-family: serif; transform: scaleX(0.952728);"">mind can not easily interpret for pattern recognition, and </span><span style=""left: 528px; top: 922.464px; font-size: 20px; font-family: serif; transform: scaleX(0.960597);"">converts the table into blocks</span><span style=""left: 753.1px; top: 922.464px; font-size: 20px; font-family: serif; transform: scaleX(0.955906);""> of color, aiding the human </span><span style=""left: 528px; top: 944.964px; font-size: 20px; font-family: serif; transform: scaleX(0.961722);"">eye in visualizing patterns within clustered data and </span><span style=""left: 528px; top: 967.464px; font-size: 20px; font-family: serif; transform: scaleX(0.929237);"">combining these blocks with a dendrogram creating a </span><span style=""left: 528px; top: 989.964px; font-size: 20px; font-family: serif; transform: scaleX(0.902473);"">clustergram </span></p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UX755CZC","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:42:55","2019-09-17 21:42:55","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Density is a global metric that simply indicates <em>how many</em> ties are present.</p> <p>Nodes within a network also have their own set of measurements. These include the exogenously defined attributes with which we are generally familiar (e.g., age, race, major), but they also include measures of position of nodes in the network.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ8D8Y83","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:42:55","2019-09-17 21:42:55","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Aggregate data can protect students' privacy, but it can also affect the accuracy of analysis sometimes if the data scientists don't take into account all of the factors.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
