"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7CKTSHA6","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:52:08","2019-09-17 21:52:08","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Bergner, Yoav. “Measurement and Its Uses in Learning Analytics.” In <em>The Handbook of Learning Analytics</em>, edited by Charles Lang, George Siemens, Alyssa Friend Wise, and Dragan Gaševic, 1st ed., 34–48. Alberta, Canada: Society for Learning Analytics Research (SoLAR), 2017. <a href=""http://solaresearch.org/hla-17/hla17-chapter1"">http://solaresearch.org/hla-17/hla17-chapter1</a>.</div> </div> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;"">This paper illustrated the promise of the combination of measurement theory and learning analytics. This point of view is thought-provoking for me as a student majored in Measurement and Evaluation. It is important to understand that the huge trend of visual learning and educational big data are leading the measurement into a multimodal analysis level. With these approaches available, more and more understanding on potential learning will be generated. </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;"">Now researchers have reported findings of whether and how MOOC log file data can assist in understanding how MOOC participants use (often) messy, chaotic forums to support complex, unpredictable, contingent learning processes. On a time efficiency perspective, <span style=""background: white;"">Learning and Development in education are frequently asked to report on the effectiveness of their training programs. However, reporting simple completion statistics for training just isn’t cutting it anymore. Measuring and reporting the return on investment for education is essential. Being able to measure learning properly in this digital age could lead to more effective learning and teaching.</span></span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black; background: white;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;"">Educational data can even be pushed back to the learner to support and encourage them. For example, successful learning incorporates the 3 Fs: Focus (the learning process), Feedback (use of learning data), Fix it (learner’s continuous improvement). Learning data can deliver feedback to the learner which is customized to reflect both the learner’s past behavior and can recommend future actions to improve success.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;""> </span></p>","/Users/Sunshine/Zotero/storage/AFJV5FVN/Bergner - 2017 - Measurement and its Uses in Learning Analytics.pdf","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GPZBWEPP","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:52:08","2019-09-17 21:52:08","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Prinsloo, Paul, and Sharon Slade. “Ethics and Learning Analytics: Charting the (Un)Charted.” In <em>The Handbook of Learning Analytics</em>, edited by Charles Lang, George Siemens, Alyssa Friend Wise, and Dragan Gaševic, 1st ed., 49–57. Alberta, Canada: Society for Learning Analytics Research (SoLAR), 2017. <a href=""http://solaresearch.org/hla-17/hla17-chapter1"">http://solaresearch.org/hla-17/hla17-chapter1</a>.</div> </div> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;"">This paper talks about different ethical issues faced in the field of learning analytics. It is true that once the Pandora’s Box of data availability has been opened, then individuals lose control of the data about them that have been harvested. They are unable to specify who has access to the data, and for what purpose, and may not be confident that the changes to the education system which result from learning analytics will be desirable....The transport of data from one context to another can result in an unfair and unjustified discrimination against an individual.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;"">One of the ideas mentioned in the paper is thought-provoking. “Data may only be collected when the purpose /use of the collected data is made explicitly clear.” To expand on this point, researchers must have a defined understanding of what data will be collected, how it will be used, and for what purpose. By establishing the scope and purpose of your learning analytics, they can set ethical boundaries that can explain and defend when learners have questions about how their information is used.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph; background: white; margin: 0in 0in .25in 0in;""><span style=""color: black;"">Also, as the social media now is prevalent and more educational data can be obtained from different channels, it is important to pay sufficient attention to the privacy issue. Not everyone who has access needs complete access - only give staff and administrators the kind of permissions that they need to have. Whenever possible, the researcher should make learner data anonymous. Also, it is important to be sure that student information is protected when contracting with third parties for data storage and analysis</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: black;""> </span></p>","/Users/Sunshine/Zotero/storage/HBRJRKQA/Prinsloo and Slade - 2017 - Ethics and Learning Analytics Charting the (Un)Ch.pdf","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67UCPNBU","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:52:08","2019-09-17 21:52:08","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Brooks, Christopher, and Craig Thompson. “Predictive Modelling in Teaching and Learning.” In <em>The Handbook of Learning Analytics</em>, edited by Charles Lang, George Siemens, Alyssa Friend Wise, and Dragan Gaševic, 1st ed., 61–68. Alberta, Canada: Society for Learning Analytics Research (SoLAR), 2017. <a href=""http://solaresearch.org/hla-17/hla17-chapter1"">http://solaresearch.org/hla-17/hla17-chapter1</a>.</div> <div class=""csl-entry""> <p>This article introduces the terms and workflows related to predictive modelling, with a particular emphasis on how these techniques are being applied in teaching and learning. The author first made a comparison between explanatory models and predictive models, where differences in principal, pragmatics and methodologies are examined. Then, predictive modelling workflow is introduced, where major steps are “Problem Identification”, “Data Collection”, “Classification and Regression”, and “Feature Selection”. The author also introduced a number of methods for building models from historical data, and considerations when implementing different algorithms. There is also a need to assess the quality of the model with a test dataset, and the feature of the test dataset is call for attention. The author also provides real practice in teaching and learning where predictive analysis is used. In the last section, the author raised a number of challenges and opportunities when building predictive models.</p> <p> </p> <p>Referring to the article on explanatory model, which emphasizes more on the interpretation of the data, the predictive model is a step forward, in which a more specific problem is to be addressed. In the “Problem Identification” part, the author mentioned quantifiable characteristics of the subject being modelled, a clear outcome of interest, the ability to intervene in situ and a large dataset are needed for a suitable problem to implement predictive model. Thus, it is reasonable that the example the author uses for providing real world practice are about institutional education data analysis, as well as online MOOC. However, this kinds of dataset is not always available in an open source. Thus, a question for me to explore further is the accessibility of the dataset in different cultural education system. Also, as mentioned in the last part of the article, supporting non-computer scientists in predictive modelling also has a great potential in promoting educational data access.</p> </div> </div>","/Users/Sunshine/Zotero/storage/BSZP8FPS/Brooks and Thompson - 2017 - Predictive Modelling in Teaching and Learning.pdf","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQZVWCW3","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:52:08","2019-09-17 21:52:08","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Liu, Ren, and Kenneth Koedinger. “Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data.” In <em>The Handbook of Learning Analytics</em>, edited by Charles Lang, George Siemens, Alyssa Friend Wise, and Dragan Gaševic, 1st ed., 69–76. Alberta, Canada: Society for Learning Analytics Research (SoLAR), 2017. <a href=""http://solaresearch.org/hla-17/hla17-chapter1"">http://solaresearch.org/hla-17/hla17-chapter1</a>.</div> <div class=""csl-entry""> <p>This article reviewed examples of explanatory model in Cognitive Model discoveries, as well as other work in the field of educational data mining. The author argued that explanatory models can be beneficial and lead to improvements to learning outcomes and learning theory. By examining Data-Driven Cognitive Model Improvement, Learning Factors Analysis, and Automated Cognitive Model Discovery Using SimStudent, the author demonstrates how data-driven techniques can alleviate expert bias while reducing human labor, and more importantly, reveal more interpretable features. In other works rather than cognitive modeling, the author reviewed the study on student grouping conducted by Liu and Koedinger, in which the method used yielded student groups that are readily interpretable and potentially actionable. The author then summarized three features that tend to characterize explanatory models. First, explanatory modelling efforts tend to start with “clean” independent variable that have either simple functions or map clearly defined constructs. Second, the dependent variables of the model are constructed in a well-defined structure. Finally, fewer estimated parameters serves in explanatory models, including characterizing independent variables, or features.</p> <p> </p> <p>Linking to the topics in class, clustering and principle components theories are doing works to eliminate overwhelming variables and grouping them into fewer well-defined features. I am wondering if this is what the author referred to as “start with “clean” independent variable”. Also, it is important to know that when generating a model, the pre-treatment of data is very important, because the structure of the data can influence the explicitness of the model. A question for me to explore is how to construct well-defined structure for both independent variables and dependent variables.</p> </div> </div>","/Users/Sunshine/Zotero/storage/IXGNJUDY/Liu and Koedinger - 2017 - Going Beyond Better Data Prediction to Create Expl.pdf","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X26W2V86","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:52:09","2019-09-17 21:52:09","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWD7E72L","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:52:09","2019-09-17 21:52:09","","","","","","","","","","","","","","","","","","","","","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Gelman, A, and A Unwin. “Infovis and Statistical Graphics: Different Goals, Different Looks (with Discussion),” 2012.</div> </div> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">This paper talks about differences in perspectives, goals and principles for data visualization between info visualization and statistics graphs. The dialogue is important for them to communicate and compare different sources, different goals and different demands from the audience.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">However, </span><span style=""font-family: 'Times New Roman';"">although people in both fields pursue unique and distinctive displays to solve unfamiliar problems, most of them rely on proving generic methods.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">In the book, Readings in Information Visualization: Using Vision to Think, by Stuart Card, Jock Mackinlay, and Ben Shneiderman says: “Information visualization is the use of computer supported, graphical representations of abstract data to augment cognition.” When information visualizations display quantitative data, which is usually the case, they are in fact “statistical graphics.” The authors also state: “One key difference between the two approaches is that Infovis prizes unique, distinctive displays, while statisticians are always trying to develop generic methods that have a similar look and feel across a wide range of applications.” </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">It is true that, “In the world of Infovis, design goals can be pursued at the expense of statistical goals.” However, it is not desired that they should be pursued in this way anymore than in the world of statistics. </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">From the paper and related topic, it is more interesting to find the negotiations. Statistical graphics (or visual data mining, visual analytics, or any other name you like) typically do not provide a final answer. But, statistical graphics often help to detect the unexpected, formulate new hypotheses, or develop new models. Later on, additional experiments or ongoing data collection as well as more formal methods (and p–values if you really want) may be used to verify some of the original graphical findings.’</span></p> <p> </p>","/Users/Sunshine/Zotero/storage/XDCRYL69/Gelman and Unwin - 2012 - Infovis and Statistical Graphics Different Goals,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE2TYNXH","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:52:09","2019-09-17 21:52:09","","","","","","","","","","","","","","","","","Blog","","","","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Fung, K. “Junkcharts Trifecta Checkup: The Definitive Guide.” Blog. <em>Junkcharts</em> (blog), 2014. <a href=""http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html"">http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html</a>.</div> </div> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">This paper expanded Tufte’s principle regarding to data visualization and talks about data vis in a research perspective. It is of great importance that we pay attention to the questions, data and visualization at the same time. The author uses a triangle network to explain different types of weakness in junk charts. </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">However, on the other side, the internet granted us with enormous access to the data and source itself, then it comes to the question, is junk chart really a junk?  </span><span style=""font-family: 'Times New Roman'; color: #111111; background: white;"">Guidelines for designing information charts often state that the presentation should reduce ‘chart junk’ - visual embellishments that are not essential to understanding the data. In contrast, some popular chart designers wrap the presented data in detailed and elaborate imagery, raising the questions of whether this imagery is really as detrimental to understanding as has been proposed, and whether the visual embellishment may have other benefits.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: #111111; background: white;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: #111111; background: white;"">To investigate these issues, researchers have conducted an experiment that compared embellished charts with plain ones, and measured both interpretation accuracy and long-term recall. They found that people's accuracy in describing the embellished charts was no worse than for plain charts, and that their recall after a two-to-three-week gap was significantly better. </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: #111111; background: white;""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman'; color: #111111; background: white;"">After all, it is a debate and all about the balance.</span><span style=""font-family: 'Times New Roman';""> The fundamental issue is whether embellishments support the data or to some degree distract from it or distort it. Embellishments that represent data, even metaphorically, can themselves qualify as “data ink.” Embellishments that are not data in themselves can sometimes support the display of data in a useful manner. </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p>","/Users/Sunshine/Zotero/storage/CNUXLKB6/Fung - 2014 - Junkcharts Trifecta Checkup The Definitive Guide.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3LYNPLI","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:52:09","2019-09-17 21:52:09","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Bowers, Alex J. “Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis.” <em>Practical Assessment, Research &amp; Evaluation</em> 15, no. 7 (May 2010).</div> <div class=""csl-entry""> <p><span style=""font-family: 'Times New Roman';"">This article examines a longitudinal study on teacher grading histories using clustering and showed how patterned, visualized and interpreted data can aid teachers in decision making and instructing. The study conducted in two districts and all the data of teachers’ grading was in the paper files. To describe that data, the researchers chose to use descriptive statistical analysis that brings empirically defined organization to a set of previously unorganized data. The author chose clustergram as a way of providing data pattern visualization. It is composite with cluster analysis cluster tree and heatmap. The study used hierarchical cluster analysis and visualization with data to identify dropout. It has also provided an attractive avenue for identifying time points for early instructional intervention by exploring specific student grade cluster patterns.</span></p> <p><span style=""font-family: 'Times New Roman';""> </span></p> <p><span style=""font-family: 'Times New Roman';"">The major take away in this article is the usage of clustering in predicting possible behavior that can be drawn from teachers grades history. It is intriguing for its combination of data and first hand resources from teachers. Also, as a longitudinal study, it selects a subject that is K-12. However, in different cultures, students may not be in the same school for all 12 years of elementary study. Thus, the longitudinal data collection can be a issue to be address. Some researchers has raised the idea of block chain in education for this kinds of data collection. This may be somehow helpful for future analysis on longitudinal data. Also, which cluster methods is most beneficial for the certain research question on drop out can be of interest. Then more generally, it is useful to ask whenever do the data analysis to see what method will be a good fit for the target problem.</span></p> </div> </div>","/Users/Sunshine/Zotero/storage/MYRUMQBC/Bowers - Analyzing the Longitudinal K-12 Grading Histories .pdf; ","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SG88CAVB","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:52:09","2019-09-17 21:52:09","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<div class=""csl-bib-body"" style=""line-height: 1.35; margin-left: 2em; text-indent: -2em;""> <div class=""csl-entry"">Grunspan, Daniel Z., Benjamin L. Wiggins, and Steven M. Goodreau. “Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research.” <em>CBE-Life Sciences Education</em> 13, no. 2 (June 20, 2014): 167–78. <a href=""https://doi.org/10.1187/cbe.13-08-0162"">https://doi.org/10.1187/cbe.13-08-0162</a>.</div> <div class=""csl-entry""> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">This article serves as both introduction guideline to social network analysis (SNA) along with an empirical study of a research addressed in an undergraduate biology class. The authors of this paper aim to convince readers that using SNA in classroom environments allows rich and informative analysis to take place and to provide some initial tools for doing so.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">There are a lot of terminology explained in this article in regards to basic concepts, methods for data collection, data processing, and data analysis. For Network Concepts, the nature that differentiate SNA is the importance of relationship and emergent structures formed by relationships. There are different ways to categorize networks, such as by the number of types od actors contained (unipartite vs bipartite), the nature of the ties contained (undirected vs. directed, binary vs. valued). For network data collection, a time frame for the relationship of interest is also important. The ways of how to sample from a population can also be divided into egocentric and census. The unique measurement for network data is network density, which indicates how many ties are present. For network methods, the collection step is based on a good survey. Also, time for the survey is also important, as the class on going, the relationship will be different. The paper also talks about the ethical issues in dealing with social network data. </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">The big lesson to take away from this paper is the thoroughness of authors’ introduction on the SNA. It is inspiring to know that there is a growing volume of research on social influences at the postsecondary level exists, examine outcomes such as overall GPA and academic performance. As social media now performs an increasingly heavy role in people’s, especially young generations’ life, it is even possible to investigate study behavior that relate to social network which is beyong traditional classroom setting. Then it comes a old issue, how can personal data be safely used even the intention for using is for academic reason? Scandal on how Facebook leaks personal data has aroused heated discussion, and influenced Mark Zuckerberg’s plan on developing in educational area. In this article, the author addressed the experiment in the institutional level. It seems that the solution for restricting data usage is an available way, but when it comes to a more general or broader setting, the problem should be newly addressed.</span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';""> </span></p> <p style=""text-align: justify; text-justify: inter-ideograph;""><span style=""font-family: 'Times New Roman';"">Also, it is interesting to find that the subject chosed in this experiment is biology, which involves collaboration in lab activities. It is intriguing to ask when it comes to other subjects, what SNA can tell to the educators and how can this better support the classroom going. In all, as the author said, SNA is a powerful tool, and there is a lot to look into and beyond it.</span></p> </div> </div>","/Users/Sunshine/Zotero/storage/EVN8A7TQ/Grunspan et al. - 2014 - Understanding Classrooms through Social Network An.pdf; ","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JH6CS9S5","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:52:10","2019-09-17 21:52:10","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
