"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L5FRLPPV","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:41:22","2019-09-17 21:41:22","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUKF7VVA","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:41:22","2019-09-17 21:41:22","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76Y56FSH","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:41:22","2019-09-17 21:41:22","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Process, practice and challenges in using predictive modelling in teaching and learning</p> <p>In both LA and EDM, predictive modeling has become a core practice.</p> <p>Predictive modeling =/= exploratory modeling</p> <p>- explanation vs prediction</p> <p>- key difference is in geenralizability</p> <p><span style=""text-decoration: underline;"">Use cases for predictive analytics in practice</span></p> <p><strong>- Performance measures,</strong> especially identifying students at risk in their academic programming.</p> <p>- e.g. determine whether students will graduate from sec school on time, formative achievement based on previous interactions with intelligent tutoring system, MOOC disengagement mid-course as an outcome.</p> <p><strong>- Detect learners who are engaging in off-task behavior</strong></p> <p>Challenges and opportunities</p> <p>- supporting non-CS in predictive modeling activites</p> <p>- creating community-led data science challenge initiatives</p> <p>- second order predictive modeling. Second order = include historical knowledge as to the effects of and intervention (e.g. email prompt or budge) in the model itself. Modeling of intervention effectiveness is important when multiple interventions are avaiable and personalized learning paths are desired.</p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XSXCEAK","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:41:22","2019-09-17 21:41:22","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Explantory models of educational data (beyond data prediction)</p> <p>Causal relationships between constructs that can either be observed or inferred from data</p> <p>Majority of EDM has been on predictive accuracy. <strong>Field could benefit from developing explanatory models.</strong></p> <p><span style=""text-decoration: underline;"">Efforts that have produced explanatory models</span></p> <p>Cognitive models</p> <p>- map knowledge components to problem steps/tasks where student performance can be observed.</p> <p>- provides a way for statistical models to make inferences about students' underlying knowledge based on their observable performance on different problem steps</p> <p>- Data-driven cognitive model improvement: Difficulty factors assessment (DFA) - uses data-driven knowledge decompotision to identify problematic elements of a task. Use DFA to identify and validate cognitive model improvements. Involves inspecting learning curves for KC model/Q-matrix, identify problematic KCs and hypothesize changes, re-fit the AFM with the revised KC model and assess whether the new model fits the data better.</p> <p>-Learning factors analysis (LFA) - atuoamte data-driven methods of KC model refinfement to alleviate demands on human time. Searches along knowledge components, evaluates models, outputs best-fitting KC model.</p> <p>- Automated cognitive model discovery (SimStudent)</p> <p> </p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8KZ2MX4","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:41:22","2019-09-17 21:41:22","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WV3IBYW4","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:41:22","2019-09-17 21:41:22","","","","","","","","","","","","","","","","","","","","","","","<p>Statistical graphics vs infographics</p> <p>Goals for graphical displays from statistical point of view (and contradictions with infographics)</p> <p>Different goals lead researchers to value different aspects of data visualization.</p> <p>Within statistics, statistical graphics have been losing importance, whereas outside, data graphics are becoming hugely popular.</p> <p>Statisticians: effective and precise ways to representing data, statistics or model analyses.</p> <p>infovis: grabbing readers' attention and telling them a story.</p> <p> </p> <p> </p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3QL8HGL","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:41:22","2019-09-17 21:41:22","","","","","","","","","","","","","","","","","Blog","","","","","","<p>Framework for critiquing data visualisations</p> <p>- what is the question</p> <p>- what does the data say</p> <p>- what does the visual say</p> <p>Results from the questions above should be the same.</p> <p>The framework has 8 types of critiques, that are permutations of which component is weak/wrong.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QT32DTC9","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:41:23","2019-09-17 21:41:23","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>Hierarchical cluster analysis and pattern visualization on data point on students </p> <p>Correctly identified &gt; 80% of students who dropped out using entire student grade history patterns from either K-12 or K-8.</p> <p>Research question: to what extent do student grades cluster through HCA into patterns that identify which students are most at risk of dropping out of school.</p> <p>Clustering - supervised (defined set of assumptions about categorization) vs unsupervised (assumes nothing about the categorization)</p> <p>HCA - organizing data based on how similar the values for the list of variables are for each case. In this case, each student's grades in all subjects from grade K through 12. Clustering algorithm applied in iteractive fashion at each level of clustering, until it defines the entire dataset at the highest hierarchical level.</p> <p>Visualization: clustergram - cluster analysis, cluster tree and heatmap.</p> <p> </p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7PSYM8G","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:41:23","2019-09-17 21:41:23","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Social network analysis to understand classrooms (primer to encourage more research, rather than a research paper itself)</p> <p> </p> <p>Understanding how learning relationships fown in undergraduate classrooms and the impact on learning outcomes.</p> <p>Test for association between network position and success on exams.</p> <p>SNA - 2 hypotheses: 1) what influences formation of relational ties in a given population, 2) influence that the structure has on shaping outcomes at the individual level or socioeconomic/ population level.</p> <p>Network formation within classrooms to understand how the realized networks affect learning outcomes -&gt; understand social impacts of different pedagogical strategies.</p> <p>- E.g. Active learning is effective but why? Maybe active learning &gt; facilitation of student networks to be stronger or less centralized or structure in a new way &gt; maximize learning.</p> <p>Contents of article:</p> <p>1. Basic concepts and terms in SNA</p> <p>2. Way to organize data for analysis</p> <p>3. Analysis of classroom network - descriptive, exploration of network evolution, analysis of network position as predictor of outcomes.</p> <p> </p> <p>Case study: subset of a 10-week intro biology course, 187 students</p> <p>Findings:</p> <p>Exploratory - hypothesis: Students who are in the same lab likely to study together. Students with fewer study partners are less likely to perform well in the class. Use sociographs to visualize network - gives visual evidence but not statistical significance.</p> <p>Network changes overtime - measures e.g .density, triad censuses and transitivity to compare first and second exams. Overall, increase in study partnerships at the class level.</p> <p>As predictors of performance - test association between degree centrality and betweenness centrality and exam scores. Because of dependent nature of cetnrality measures, testing for association between network position and exam performance is not straightforward.</p> <p>- Permutation correlation test - distribution of corrs from data by random sampling values from one variable and matching them to another. - results: no signiciant correlation for either centrality measure for the first exam but signifciant correlation between both on the second exam. =&gt; given chance to revise network positions after some experience in the course, there is a social influence on exam performance.</p> <p>Note: study could not control for student effort, so unable to discern if study effort confounds findings and therefore causality is vague.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EV3Q9LV","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:41:23","2019-09-17 21:41:23","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Designing for the averages student if designing for nobody - L. Todd Rose, educational neurosicnece at Harvard GSE.</p> <p>Center for Individual Opportunities - research into ""science of the individual"".</p> <p>Learning style theory: Analogy to cancer, where doctors try to treat an ""average cancer"" and when it does not work says the patient has an ""aggressive form"". Today it is personalized. For learning, there are also personal patterns across dimensions, And this is beyond learning styles. Personality and learning varies across contexts.</p> <p>MOOCs: It has pushed colleges to thnik about what the value proposition is about face to face vs online.</p> <p>His vision: third party responsible for protecting learner datam and student to have a decade of data about the way that they're learning.</p> <p> </p> <p> </p> <p> </p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
