"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RYCLCGVF","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:44:30","2019-09-17 21:44:30","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<ul> <li>the use of a learning analytics tool is always aligned with assessment regimes <ul> <li>which are in turn grounded in epistemological assumptions and pedagogical practices</li> </ul> </li> <li>deploying a given learning analytics tool expresses a commitment to a particular educational worldview <ul> <li>designed to nurture particular kinds of learners</li> </ul> </li> <li>Anderson (2008): new era; death of theory, models, and scientific method. No longer do we need to create theories about how the world works, because the data will tell us directly as we discern, in almost real time, the impacts of probes and changes we make</li> <li>Wise and Shaffer (2015): theory more important, not less, when so much data makes everything statistically significant.</li> <li>Epistemology-Assessment-Pedagogy triad</li> <li>Learning Analytics has potential to: <ul> <li>marginalize learners &amp; educators thru transofrmation of ed into technocratic system</li> <li>limit what we talk about as ""learning"" to what we can create analytics for</li> <li>exclude alternative ways of engaging in activites hard to track computationally to the detriment of learners</li> </ul> </li> <li>Six questions to ask <ul> <li>What are we measuring?</li> <li>How are we measuring?</li> <li>Why is this knowledge important to us?</li> <li>Who is the assessment for?</li> <li>Where does assessment happen?</li> <li>When does assessment/feedback occur?</li> </ul> </li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDFJKHPL","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:44:30","2019-09-17 21:44:30","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<ul> <li>Ethics of Learning Analytics important to consider as field matures</li> <li>the future of learning will be digital, distributed, and data-driven such that education ""enables quality of life and meaningful employment through<br /> <ul> <li>exceptional quality research</li> <li>sophisticated data collection</li> <li>advanced machine learning and human learning analysis/support</li> </ul> </li> <li>Ethical implications around the collection, analysis, and use of student data should take cognizance of the potentially conflicting interests and claims of a range of stakeholders</li> <li>Eight principles: <ul> <li>LA is an ethical practice &amp; should align with core principles like open entry to undergraduate level study</li> <li>responsiblity to all stakeholders</li> <li>students should not be wholly defined by visible data (stereotyping)</li> <li>boundaries of LA need to be well defined</li> <li>transparent about data collection</li> <li>interventions free from bias</li> <li>broad acceptance of values and benefits</li> </ul> </li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8KUUHIZ","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:44:30","2019-09-17 21:44:30","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<ul> <li>In both EDM and LA, predictive modelling has become a core practice of researchers <ul> <li>largely with the focus on predicting student success as operationalized by academic achievement</li> </ul> </li> <li>Predictive analytics are a group of techniques used to make inferences about uncertain future events</li> <li>In education, might be interested in predicting: <ul> <li>measurement of learning</li> <li>teaching impact of a given style</li> <li>retention</li> </ul> </li> <li>predictive vs explanatory modelling</li> <li>Explanatory: <ul> <li>goal is to use all avail evidence to provide explanation for outcome (t-tests, avgs)</li> <li>eg observations of age, gender, and socioeconomic status of learner population might be used in regression model to explain how they contribute to a given student achievement result</li> <li>intent is to be causal (vs correlative)</li> </ul> </li> <li>Predictive: <ul> <li>goal is to create a model that will predict the values (or class if not numeric) of new data based on observations</li> <li>based on assumption that a set of known data (training data) can be used to predict the value or class of new data based on observed variables</li> </ul> </li> <li>classification: predict categorical values</li> <li>regression: predict numeric values</li> <li>applying an algorithm that assumes independence can result in predictions with an over-emphasis on repeated or correlated features (eg attendance and # questions asked in class are not independent)</li> <li>Linear regression - predicts a continuous numeric output from a linear combination of attributes</li> <li>Logistic regression - predicts the odds of two or more outcomes, allowing for categorical predictions</li> <li>Nearest Neighbors classifiers - use only the closest labelled data points in the training dataset to determine appropriate predicted labels for new data</li> <li>Decision Trees - repeated partitions of the data based on a series of single attribute ""tests."" Each test chosen algorithmically to maximize purity of classifications</li> <li>Naive Bayes Classifiers - assume the statistical independece of each attribute given the classification, and provide probabilistic interpretations of classifications</li> <li>Bayesian Networks - manually constructed graphical models</li> <li>Support Vector Machines - use a high dimensional data projection in order to find a hyperplane of greatest separation btwn various classes</li> <li>Neural Networks - propagate data input through a series of interconnected layers</li> <li>Ensemble Methods: voting pool</li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZX928U4","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:44:30","2019-09-17 21:44:30","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<ul> <li>Majority of EDM research has focused on achieving predictive accuracy <ul> <li>argue for more focus on explanatory models</li> </ul> </li> <li>less commonly, models may be validated by their ability to predict post-test outcomes</li> <li>explanatory models can be connected to theory <ul> <li>focus on why the model fit the data</li> <li>rather than only that it does fit</li> </ul> </li> <li>EDM research focused on two types of models <ul> <li>statistical drive the outer loop of intelligent tutoring systems</li> <li>cognitive are representations of the knowledge space; Q-matrix</li> </ul> </li> <li>Learning Factor Analysis (LFA) - automates the data-driven method of KC model refinement to alleviate demands on human time <ul> <li>SimStudent discovers cognitive models w/o requiring existing ones</li> <li>SimStudent generated model better fit actual student performance data than human generated model</li> <li>SimStudent found that Ax = B was easier to understand than -x=A and split these problems into two subsets whereas humans taught them together</li> </ul> </li> </ul>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5PT7XHK","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:44:30","2019-09-17 21:44:30","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BH3M22WD","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:44:31","2019-09-17 21:44:31","","","","","","","","","","","","","","","","","","","","","","","<ul> <li>In statistics, graphics are typically thought of as a way to help with simple tasks such as data cleaning and exploration, before getting to the serious task of inference</li> <li>outside of statistics, data graphics have become hugely popular, with innovative visualizations appearing regularly on the web and in the New York Times<br /><br /></li> <li>On the statistical side, data analysts and statisticians are interested in finding effective and precise ways of representing data, whether raw data, statistics or model analyses <ul> <li>graphics should enable readers to make up their own minds on any conclusions drawn, and possibly see more</li> </ul> </li> <li>the Infovis approach uses the data to draw attention to wider issues<br /><br /></li> <li>With presentation graphics you prepare some small number of graphs, which may be viewed by thousands</li> <li>with exploratory graphics you prepare thousands of graphs, which are viewed by one person, yourself</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUPG3M7K","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:44:31","2019-09-17 21:44:31","","","","","","","","","","","","","","","","","Blog","","","","","","<ul> <li>The Trifecta Checkup involves only three investigations:  <ul> <li>What is the QUESTION?</li> <li>What does the DATA say?</li> <li>What does the VISUAL say?</li> </ul> </li> <li>Ideally, the results of all three investigations are one and the same.</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INXJ83ZY","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:44:31","2019-09-17 21:44:31","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<ul> <li>Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8</li> <li>This study examined longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188) <ul> <li>demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort</li> <li>can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators</li> </ul> </li> <li>An emerging line of research has begun to ask why teacher-assigned grades are predictive of overall student outcomes, but are a weak indicator of academic knowledge when compared to standardized test scores <ul> <li>Termed “hodge-podge” or “kitchen sink” grading, surveys of teachers have repeatedly found that teachers award students grades for a variety of factors, including academic knowledge, attendance, participation, and behavior <br /><br /></li> </ul> </li> <li>much of the past research has focused on using logistic regression to predict the likelihood of dropping out of school given if a student has failed a core course <ul> <li>this issue returns to the problem of reducing the rich set of data represented by individual student achievement trends to aggregated means and fitted regression slope equations that are generalizable to the population, but less useful for making data driven decisions for individual students and schools.<br /><br /></li> </ul> </li> <li>Known as hierarchical cluster analysis (HCA), this multivariate statistical method uses a series of nested correlation calculations, or distance measures, to reorder a dataset <ul> <li>a means to analyze all of the data without aggregating the data, displaying each individual’s information patterned and displayed in a way that allows for interpretation of large longitudinal datasets</li> </ul> </li> <li>The combination of the cluster analysis, cluster tree, and heatmap, creates the clustergram</li> <li>This study has come to a rather obvious finding; students with generally low grades throughout their career in school drop out.</li> </ul>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTS4VG6G","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:44:31","2019-09-17 21:44:31","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<ul> <li>Social interactions between students are a major and underexplored part of undergraduate education.</li> <li>Social network analysis (SNA) provides the necessary tool kit for investigatingquestions involving relational data</li> <li>Network analysis entails two broad classes of hypotheses: <ul> <li> those that seek to understand what influences the formation of relational ties have in a given population (e.g., having the same major, having relational partners in common</li> <li>those that consider the influencet hat the structure of ties has on shaping outcomes, at either the individual level (e.g., grade point average [GPA] or socio economic status) or the population level (e.g., graduation rates or retention in science, technology, engineering, and mathematics [STEM] disciplines)</li> </ul> </li> <li>Recent research in physics education has found that a student’s position within communication and interaction networks is correlated with his or her performance</li> <li>example from a subset of a 10-wk introductory biology course with 187 students who saw the course to completion.</li> <li>Networks that consist of only one type of actor (e.g., students) are referred to as unipartite</li> <li>a bipartite network could link scholars to papers they authored or students to classes they took, differing from a unipartite network, which would link author to author or student to student</li> <li>There does not seem to be any strong visual evidence for an association between classroom performance and number of study partners.</li> <li>Network changes over time</li> </ul>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGFNEP5J","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:44:31","2019-09-17 21:44:31","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<ul> <li>Designing a textbook or lecture with the average student in mind means it is designed for nobody</li> <li>for a student with affinity for science but low reading score, science class is first and foremost a reading test due to reliance on textbooks; doubtful that student will ever show true capabilities</li> <li>technology can help, by giving educators detailed data on students and the ability to customize teaching materials so “they truly can nurture the potential of every single individual.</li> <li>For 150 years, we’ve thought we could understand individuals by studying groups of people and patterns in the population <ul> <li>we look for statistical patterns in the people. but it turns out that much to our chagrin, we know now that you can’t actually tell anything in population studies about any individual in that group</li> <li>You had to draw inferences about a population from a sample because you couldn’t get the population data.</li> </ul> </li> <li>It’s not that everyone’s a snowflake — I mean, that’s probably true at some level, but it’s not particularly helpful <ul> <li>We’re looking for personal patterns across what we call dimensions.</li> </ul> </li> <li>So let’s say there are five things that really matter for how well you’ll do in algebra, like working memory is a predictor. But it’s how you vary across those, the jagged profile, that is really important to know</li> <li>Your personality or your traits, they’re not actually stable <ul> <li>We could say, “You’re a Type A person,” or “You’re aggressive,” or whatever. But it turns out it’s just not true</li> <li>It turns out what’s really stable is, say, your personality in the lunchroom at work. Your aggression level, how easygoing you are in the lunchroom doesn’t tell us a lot about how you’ll be in a classroom, believe it or not</li> <li>Say you tend to be highly aggressive in classrooms where it’s new information and you have a male teacher. It’s that level of information. If we know that. That kind of data has been shown to be predictive of your behavior up to 10 years out</li> </ul> </li> <li>What we need to know about you is your contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts.</li> <li>If I had to push for one thing that I think is super important, that is that the user should own their data</li> <li>My vision that we’re going to push for in my organization is you’ve got to have a third party who is responsible for protecting learner data</li> </ul>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXGAVDIN","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2019-09-17 21:44:32","2019-09-17 21:44:32","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<ul> <li>all students can achieve expertise in a domain if two conditions are met: <ul> <li>(1) the domain knowledge is appropriately analyzed into a hierarchy of component skills</li> <li>(2) learning experiences are structured to ensure that students master prerequisite skills before tackling higher level skills in the hierarchy.</li> </ul> </li> <li>Each tutor is constructed around a cognitive model of the underlying skill that allows the tutor to solve the exercises along with the student and provide feedback on student actions.</li> <li>These tutors have proven to be effective learning environments; students can work through a fixed set of exercises in substantially less time than students working on their own and score as well or better on posttests</li> <li>ACT-R theory assumes declarative knowledge different than procedural <ul> <li>Example of declarative: The Lisp function car takes one list as an argument and retums the first ele- ment.</li> <li>ACT-R assumes that skill knowledge is encoded initially in declarative form through experiences such as reading</li> </ul> </li> </ul>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JS923BXP","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2019-09-17 21:44:32","2019-09-17 21:44:32","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","LAK '12","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<ul> <li>Educational Data Mining (EDM) vs. Learning Analytics and Knowledge (LAK). <ul> <li>EDM = 2005 origin</li> <li>lLAK = 2010 origin</li> </ul> </li> <li>EDM: “Educational Data Mining is an emerging discipline, concerned with developing methods for exploring the unique types of data that come from educational settings, and using those methods to better understand students, and the settings which they learn in.”</li> <li>LAK: "" “... the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs.”</li> <li>LAK and EDM share the goals of improving education by improving assessment, how problems in education are understood, and how interventions are planned and selected</li> <li>EDM has a considerably greater focus on automated discovery <ul> <li>EDM research which leverages human judgment in many cases does so to provide labels for classification,</li> <li>EDM models are more often used as the basis of automated adaptation, conducted by a computer system such as an intelligent tutoring system.</li> <li>reduces phenomena to components and analyzing individual components and relationships between them.</li> </ul> </li> <li>LAK has a considerably greater focus on leveraging human judgment. <ul> <li>LAK research which uses automated discovery often does so in the service of informing humans who make final decisions</li> <li>LAK models are more often designed to inform and empower instructors and learners</li> <li>place a stronger emphasis on attempting to understand systems as wholes, in their full complexity</li> </ul> </li> </ul> <p> </p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHHQ3I77","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2019-09-17 21:44:32","2019-09-17 21:44:32","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<ul> <li>Different machine learning tasks have different performance metrics.</li> <li>Examples of performance metrics for various tasks include:<br /><br /></li> <li>If I build a classifier to detect spam emails versus normal emails, then I can use classification performance metrics such as <ul> <li>average accuracy</li> <li>log-loss</li> <li>area under the curve (AUC).</li> </ul> </li> <li>If I’m trying to predict a numeric score, such as Apple’s daily stock price, then I might consider the root-mean-square error (RMSE).</li> <li>If I am ranking items by relevance to a query submitted to a search engine, then there are ranking losses such as precision-recall (also popular as a classification metric) or normalized discounted cumulative gain (NDCG). </li> </ul>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XT62AE5","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2019-09-17 21:44:32","2019-09-17 21:44:32","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEAXJ2QF","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2019-09-17 21:44:32","2019-09-17 21:44:32","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","Learning; Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6IZSFT2","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2019-09-17 21:44:32","2019-09-17 21:44:32","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<ul> <li>90% of elite engineers played with clocks as children</li> <li>New education programs must now have clock assembly programs and tests</li> <li>Cancelled art class for clock repair</li> <li>Other countries assemble clocks better</li> <li>Scientists determine that: <ul> <li>great engineers liked clocks as kids</li> <li>not: children who like clocks become great engineers</li> </ul> </li> <li>But now training is in motion and unstoppable</li> </ul> <p> </p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
