"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"383YUS4J","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:46:15","2019-09-17 21:46:15","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>two opinions for theory<br />Anderson: no longer do we need to create theories about how the world works.<br />Wise and Shaffer: theory is more important in interpreting results.(data archeology/data geology)</p> <p>educators and learners: data gathering, analysis, interpretation, and intervention is no longer the preserve of the research, but shifts to embedded sociotechnical educational infrastructure.</p> <p>ethical dilemmas:""wicked problems"" and complex adaptive systems.</p> <p>drive the new horsepower: to accelerate innovation and improve evidence-based decision-making.</p> <p>learning analytics are incarnation of an algorithmically pervaded society.</p> <p>assessment and pedagogy are built on the foundation of epistemology</p> <p>relationship: learning analytics support educational practices or challenge education education.</p> <p>Epistemology-what are we measuring: encourages us to consider our learning design, the skills and facts we want our students to learn.</p> <p>Epistemology-how are we measuring: assess to the knowledge.</p> <p>pedagogy-why is this knowledge important to us:debates around the kind of important knowledge and the role of knowledge-based curricula.</p> <p>pedagogy-who is assessment/analytic for: 1. individual students in developing their learning 2. educators in developing their own practice 3. administrators in understanding their organizational needs.<br />this question causes two concerns:1. create new divides between student cohorts 2. ethical concern regarding the use of student data.</p> <p>assessment-where does the assessment happen: in a physical location.</p> <p>assessment-when does the assessment, and feedback, occur: consideration of whether or not a particular technology provides after-the-fact or real-time feedback.</p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRKUSKEX","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:46:15","2019-09-17 21:46:15","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Slade and Prinsloo estabilished one of the earliest framworks developed with a focus on ethics in learning analytics.</p> <p>why ethics is relevant: potential economic benefits resulting from increasing data harvesting. Ethical implications should take cognizance of the potentially conflicting interests and claims of a range of stakeholders.</p> <p>ethical issues: 1. the location and interpretation of data. 2. informed consent, privacy, and the de-identification of data. 3. the management, classification, and storage of data.</p> <p>Slade and Prinsloo proposed a framework based on six principles: 1. learning analytics are moreal practice 2. students as agents 3. student performance as temporal constructs 4. student success as a complex phenomenon. 5. transparency 6. the higher education cannot afford not to use data. ---supported by practical consideration</p> <p>recent developments in ethical frameworks: attempts in different geopolitical and institutional contexts. Welsh and Mckinney: relative immaturity of the discipline. Deachsler and Greller: broad overview of ethics, privacy, and frameworks, and challenges. Sclater: taxonomy of ethical, legal, and logistical. Engelfriet etal: protection of personal information. </p> <p>Future considerations: 1. conflicts between students' concerns, right to opt-out and institution use student information. 2. ethical research 3. concern balancing optimism around AI, machine learning and big data.</p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EHUPQRI","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:46:15","2019-09-17 21:46:15","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>predictive analytics are a group of techniques used to make inferences about uncertain future events.</p> <p>Compare:<br />explanatory modelling: to use all available evidence to provide an explanation for a given outcome. Does not aim to make any claims about the future.A post-hoc and reflective activity aimed at generating an understanding of a phenomenon. All of the data collected from a sample is used to describe a population more genereally.<br />predictive modelling: to create a model that will predict the values of new data based on observations. Does aim to make claims about the futures. situ activity intended to make systems responsive to changes in the underlying data. Protect against the overfitting of models to data being used for training.</p> <p>4 types of data considered in statistical modelling: categorical, ordinal(categorical), interval(numeric), and ratio(numeric).</p> <p>missing values: 1. replace missing value with ""normal"" value 2. fill in missing values in records by finding other similar records in the dataset.</p> <p>Methods for building predictive models: 1. linear regression 2. logistic regression 3. nearest neighbours classifiers 4. decision tree 5. naive bayes classifiers 6. bayesian networks 7. support vector machines 8. neural networks 9. ensemble methods.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTXTACEC","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:46:15","2019-09-17 21:46:15","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>two types of models: 1. statistical model 2. cognitive model</p> <p>statistical model:drive the outer loop of intelligent tutoring system based on observable features of students' performance as they learn.<br />cognitive model:representations of the knowledge space underlying a particular educational domain. it's a important basis for the instructional design and accurate assessment.</p> <p>method for cognitive model refinement iterates: 1. inspect curve visualization 2. identify KCs(knowledge component) 3. re-fit the AFM</p> <p>learning factors analysis automate the data-driven method of KC model refinement to further alleviate demands on human time. Different structure from the original dataset, it would not have been viable to apply directly the LFA-discovered KC mdoel on this new dataset.</p> <p>state-of-the-art machine-learning agent, SimStudent, to discover cognitive models. Benefit is can simulate features of novices' learning reajectories. SimStudent can be used to test alternative models of human learning to see which best predicts human behaviour.</p> <p>other model, ""human-in-the-loop"" component like Ordinal SPARFA-Tag yielded more interpretable cognitive models than many alternative methods.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SN8HQFDP","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:46:16","2019-09-17 21:46:16","","134-136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32Y4FSW9","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:46:16","2019-09-17 21:46:16","","","","","","","","","","","","","","","","","","","","","","","<p>purpose of the present article is to start a conversation between practitioners in statistical graphics and information visualization.</p> <p>graphical communication of data and models are important part of statistical practice and theory.</p> <p>two group:1. statistical side, find effective ways of representing data, graphics enable readers to make up their own mind on any conclusion. 2. Infovis side, provide contextual information and try to tell a story</p> <p>goals for graphics:<br />Discovery goals: 1. giving a qualitative sense of dataset 2. conveying the sense of the scale and complexity of a dataset 3. flexible displays to discover unexpected aspects of the data.<br />Communication goals: 1. communication to self and others 2. telling a story 3. attracting attention and stimulating interest</p> <p>5 best data visualization projects of the year: 1. wordle 2. decision tree 3. radiohead music video 4. box office streamgraphs 5. britain from above</p> <p>problem of infographics: 1. plane crashes 2. Florence Nightingale's coxcomb: should prefer simple time-series plots 3. health spending and life expectancy: scatterplot more transparently and informatively 4. How to win in Afghanistan: no sense of priorities</p> <p>difference between statistical and infovis: 1. statistical prefer to use standard well-tried tools; infovis places high value on creativity 2. statisticians assume their viewers are already interested; infovis want to draw attention to their graphics, and as a door opener for the graphics</p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4Z2ALHC","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:46:16","2019-09-17 21:46:16","","","","","","","","","","","","","","","","","Blog","","","","","","<p>Junk charts Trifecta Checkup: framework for data visualization criticism.</p> <p>Question: project needs a worthy cause.<br />Data: relevant to the question being addressed<br />Visual: represent the Data in a clear manner, addressing the question directly</p> <p>8 types of critiques:<br />1. the trifecta: everything is in sync, no weaknesses for chart<br />2. Type Q: poorly defined objective, or an unengaging premise make the effort fail.<br />3. Type D: the data fail to illuminate the question<br />4. Type V: the visual design confused the message<br />5. Type QD: poor data quality, and an unclear objective<br />6. Type QV: question not clearly defined and graphic design fail to bring out key features of the data.<br />7. Type DV: poor execution of the graphical elements and data fail to convince<br />8. Type QDV: graphical disasters do not get anything right</p> <p>when using the Trifecta Checkup Framework, question, data, visual are equally important.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NTEKRY8","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:46:16","2019-09-17 21:46:16","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>Data driven decision making(3DM)</p> <p>teacher-a ssigned grades as useful data in schools: include academic knowledge, attendance, participation and behavior. 25% in grade is attributable to academic knowledge, 75% to assess a student's ability to negotiate the social processes of school.</p> <p>innovation in the data mining literature: 1. hierarchical cluster analysis(HCA), 2. heatmaps interpret longitudinal trends in student data.</p> <p>Method: 1. sample and district context  2. data collection 3. hierarchical cluster analysis: brings empirically defined organization to a set of previously unorganized data. two types of clustering: supervides and unsupervised. 4. missing data: reason: not all students take all of the same subjects; students dropped out of school before the end of grade 12, or transferred into or out of either district. 5. clustergrams: help visualize the organization and include a final set of data for each case's data row. 6. clustergram X-Axis subject order.</p> <p>Findings: 1. an example of hierarchical clustering: HCA using longitudinal grade histories. main goal of study is to present HCA and visualization techniques as a useful method for the organization and analysis to aid 3DM. 2. comparison to Past Dropout Identification Literature: goal is to identify students who will ultimately dropout of school</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRYAA8D6","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:46:16","2019-09-17 21:46:16","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>education researchers:study network formation within classrooms<br />three way to do analysis: 1. descriptive analysis of the network, 2. exploration of network evolution 3. analysis of network position as a predictor of individual outcomes.</p> <p>Social Network Basics: SNA help us understand how relationships form, what kinds of relational structures between pairs of actors, and the impacts are of these relationships on actors.</p> <p>Network Types: 1. number of types of actors they contain: one type of actor, student(unipartite); liking actors with the groups to which they belong(bipartite) 2. nature of the ties they contain: ties are inherently bidirectional(undirected); directed network. binary or valued.</p> <p>Network Data Collection: time frame of collection; how to sample from a population; census networks</p> <p>Network level concepts and Measures: network density(how many ties are present); who is connected with whom, homophily.</p> <p>data management: matrices are a powerful way to store and represent social network data.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEJ7NQN8","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:46:16","2019-09-17 21:46:16","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Everyone has different grade level. Even though they are in the same grade, they have different strengths and weakness. Now textbook or lecture is designed for average student, but actually there are no students are in average, most are higher or lower. This explained why there are lots of poor students, the reason for their bad grade is not because they are poor, there are no perfect customized textbook or lecture for them. Like some students are good at math, but poor at reading. Why they get the bad score in math, since reading requirement in the exam is higher than their level. Why students should own their educational data? Because individuals are in different level, not are in average. But all of textbooks are in average level. </p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
