"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UR9F8TI7","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:41:55","2019-09-17 21:41:55","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>This chapter indicates the use of learning analytics tools is always consistent with the evaluation system, which is intentional or unintentional, and the evaluation system is based on epistemological assumptions and teaching practices. Therefore, fundamentally, we beblieve that the deployment of a specific learning analysis tool expresses a commitment to a specific educational worldview aimed at training specific types of learners.</p> <p>This paper outline some of the critical issues in the development of learning analytics technology and put forward the purpose and assumptions of learning analysis.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCKQANI4","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:41:55","2019-09-17 21:41:55","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Combining analysis of learning and growth in practice and an introduction to educational analysis policy, the challenge in understanding how theory and analysis are linked is to ""go from click to build"" in a principled way.</p> <p>Learning analysis is a concrete manifestation. From a larger society to the popularization of algorithms, their extensive influence on education needs to be carefully considered.</p> <p>In this chapter, the paper believe that the use of learning analysis tools is always consistent with the evaluation system.</p> <ul> <li>The evaluation system is intentional or unintentional.</li> <li>The evaluation system is based on epistemological assumptions and teaching practices.</li> </ul> <p>Therefore the use of specific learning analysis tools expresses a specific learning analysis tools expresses a specific educational worldview dedicated to training specific types of learners.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LK7DLLMW","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:41:56","2019-09-17 21:41:56","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4PTCNGH","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:41:56","2019-09-17 21:41:56","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Learning analytics is a concrete manifestation of the shift from a larger society to the popularity of algorithms, and their wider impact on education needs to be carefully considered. In this chapter, we believe that the use of learning analysis tools is always consistent with the evaluation system, which is intentional or unintentional, and the evaluation system is based on epistemological assumptions and teaching practices.</p> <p>Therefore, fundamentally, this paper believes that the deployment of a specific learning analysis tool expresses a commitment to a specific educational worldview aimed at training specific types of learners.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRHCTIDP","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:41:56","2019-09-17 21:41:56","","134-136","","","","","","","","","","","","","","","","","","","","","<p>Guiding principles for small multiple plots:</p> <ul> <li> Keep the X and Y axes on the same scale.</li> <li>Eliminate repetitive information.</li> <li>Maintain consistency across plots</li> </ul> <p>Guiding principles:</p> <ul> <li>Avoid distracting elements.</li> <li>Use informative informative color to visually associate elements.</li> <li>Keep the figure simple (and therefore interpretable)</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U3JL2AE","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:41:56","2019-09-17 21:41:56","","","","","","","","","","","","","","","","","","","","","","","<p>This paper presents a set of graphically displayed goals and explore some inherent contradictions in these goals from a statistical perspective.</p> <p>Communication between intrusion statistics and information systems. For practitioner and statisticians, the constructive suggestion is to try not to do this and stuff in one chart what can be better displayed in two or more charts.</p> <p>Although this paper only provides a perspective, here is a starting point for an extensive discussion of statistical methods among graphic designers, statisticians, and users. The purpose of this article is not to criticize, or even explore, different goals that lead researchers in different fields to different data visualization methods.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHF4JSKJ","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:41:56","2019-09-17 21:41:56","","","","","","","","","","","","","","","","","Blog","","","","","","<ul> <li>Graphical Integrity <ul> <li>The representation of numbers, as physically measured on the surface of the graphic itself, should be directly proportional to the numerical quantities represented.</li> <li>Clear, detailed, and thorough labeling should be used to defeat graphical distortion and ambiguity. Write out explanations of the data on other graphic itself. Label important events in the data.</li> <li>Show data variation, not design variation</li> </ul> </li> <li>Chart junk <ul> <li>Intriguing &amp; curiosity-provok</li> <li>Narrative Power</li> <li>Immense detail</li> </ul> </li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFSWHTMD","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:41:57","2019-09-17 21:41:57","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<ul> <li>Inform decision making</li> <li>Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8.</li> <li>Teacher-Assigned Grades as Useful Data in Schools <ul> <li>An emerging line of research has begun to ask why teacher-assigned grades are predictive of overall student outcomes, but are a weak indicator of academic knowledge when compared to standardized test scores.</li> </ul> </li> <li>Visualizing Data for  3DM in Schools <ul> <li>cross-sectional means and standard deviations.</li> <li>aggregated descriptive statistics give only an overview of the central tendency of a sample</li> <li>early failure in reading or mathematics has been shown to be highly predictive of student schooling outcomes</li> <li>much of the past research has focused on using logistic regression to predict the likelihood of dropping out of school given if a student has failed a core course.</li> </ul> </li> </ul>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2MTRILU","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:41:57","2019-09-17 21:41:57","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>This paper encourages researches interested in biology education and broader education research to analyze, use relevant data, and consider the importance of learning relationships for  undergraduate education. In the process, this paper first introduces some of the basic concepts and terminology in SNA, outlining the methods and concerns of data collection, including the importance of getting approval from a local agency review board (IRB). Secondly, it briefly discusses a simple method to organize the data for analysis, and then briefly analyzes the classroom network through the following three ways: descriptive analysis of the network, exploration of network evolution, and analysis of network location as a predictor of individual results.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39PLCWF2","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:41:58","2019-09-17 21:41:58","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>The truly transformational potential of the technology [is hard for venture-backed companies] to do. What this system need to know about customer is the contextualized profile of your performance and what kind of support you’ll need to be able to model your learner profile across contexts.</p> <p>There’s this default thing right now which is that everybody but the user owns their data. Then the student could have, say, a decade of data about the way that they’re learning.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
