"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U9Q755UE","book","2017","Tallent, Gabriel","My Absolute Darling: A Novel","","978-0-7352-1117-9","","","","""Poised to become the breakout debut of the year."" —The New York Times   ""Nearly impossible to put down."" —NPR""The word 'masterpiece' has been cheapened by too many blurbs, but My Absolute Darling absolutely is one."" —Stephen KingA brilliant and immersive, all-consuming read about one fourteen-year-old girl's heart-stopping fight for her own soul.Turtle Alveston is a survivor. At fourteen, she roams the woods along the northern California coast. The creeks, tide pools, and rocky islands are her haunts and her hiding grounds, and she is known to wander for miles. But while her physical world is expansive, her personal one is small and treacherous: Turtle has grown up isolated since the death of her mother, in the thrall of her tortured and charismatic father, Martin. Her social existence is confined to the middle school (where she fends off the interest of anyone, student or teacher, who might penetrate her shell) and to her life with her father.Then Turtle meets Jacob, a high-school boy who tells jokes, lives in a big clean house, and looks at Turtle as if she is the sunrise. And for the first time, the larger world begins to come into focus: her life with Martin is neither safe nor sustainable. Motivated by her first experience with real friendship and a teenage crush, Turtle starts to imagine escape, using the very survival skills her father devoted himself to teaching her. What follows is a harrowing story of bravery and redemption. With Turtle's escalating acts of physical and emotional courage, the reader watches, heart in throat, as this teenage girl struggles to become her own hero—and in the process, becomes ours as well.Shot through with striking language in a fierce natural setting, My Absolute Darling is an urgently told, profoundly moving read that marks the debut of an extraordinary new writer.","2017-08-29","2017-09-09 21:47:26","2017-09-09 21:47:26","","","432","","","","","My Absolute Darling","","","","","Riverhead Books","New York","English","","","","","Amazon","","","","","https://www.amazon.com/gp/product/0735211175/ref=s9_acsd_al_bw_c_x_1_w?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=7NRDSTKS1QR3C3Z7FWDY&pf_rd_r=7NRDSTKS1QR3C3Z7FWDY&pf_rd_t=101&pf_rd_p=fe5a5d95-54a9-48be-a6a9-4c29d6c8cf23&pf_rd_p=fe5a5d95-54a9-48be-a6a9-4c29d6c8cf23&pf_rd_i=390919011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5F6YGL3","book","2010","Shapiro, James S.","Contested Will: who wrote Shakespeare?","","978-1-4165-4162-2","","","","Shakespeare scholar James Shapiro explains when and why so many people began to question whether Shakespeare wrote his plays","2010","2017-09-09 22:06:45","2017-09-09 22:06:45","","","339","","","","","Contested Will","","","","","Simon & Schuster","New York","","","","","","Library of Congress ISBN","PR2937 .S47 2010","OCLC: ocn419812516","<p>Shakespeare -- Bacon -- Oxford -- Shakespeare</p>","","","","Authorship; Authorship Baconian theory; Authorship Oxford theory; Shakespeare, William","","","","","","","","","","","","","","","","","","","","1st Simon & Schuster hardcover ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCHIDL59","journalArticle","","","","","","","","","","","2017-09-09 22:07:24","2017-09-09 22:07:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3C3HUYRH","journalArticle","2014","Shermis, M.D.","State-of-the-art automated essay scoring: Competition, results, and future directions from a United States demonstration","Assessing Writing","","","","http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science/article/pii/S1075293513000196","","2014-04","2017-09-09 22:11:35","2017-09-09 22:11:35","2014-08-20 23:48:38","53-76","","","20","","","","","","","","","","","","","","","","","","","","http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science/article/pii/S1075293513000196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MH8QE74J","webpage","2014","Honan, Mat","I Liked Everything I Saw on Facebook for Two Days. Here’s What It Did to Me | Gadget Lab","WIRED","","","","http://www.wired.com/2014/08/i-liked-everything-i-saw-on-facebook-for-two-days-heres-what-it-did-to-me/","I like everything. Or at least I did, for 48 hours. Literally everything Facebook sent my way, I liked---even if I hated it.","2014-08-11","2017-09-09 22:11:35","2017-09-09 22:11:35","2014-08-12 14:01:43","","","","","","","","","","","","","","","","","","","","","","","","http://www.wired.com/2014/08/i-liked-everything-i-saw-on-facebook-for-two-days-heres-what-it-did-to-me/","","Facebook; like buttons; News Feed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55UGTUQY","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2017-09-09 22:11:36","2017-09-09 22:11:36","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R23FXZRH","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2017-09-09 22:11:36","2017-09-09 22:11:36","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7ZZ3SBT","conferencePaper","2013","Lee, Victor R.; Drake, Joel","Quantified Recess: Design of an Activity for Elementary Students Involving Analyses of Their Own Movement Data","","978-1-4503-1918-8","","10.1145/2485760.2485822","http://doi.acm.org.ezp-prod1.hul.harvard.edu/10.1145/2485760.2485822","Recess is often a time for children in school to engage recreationally in physically demanding and highly interactive activities with their peers. This paper describes a design effort to encourage fifth-grade students to examine sensitivities associated with different measures of center by having them analyze activities during recess using over the course of a week using Fitbit activity trackers and TinkerPlots data visualization software. We describe the activity structure some observed student behaviors during the activity. We also provide a descriptive account, based on video records and transcripts, of two students who engaged thoughtfully with their recess data and developed a more sophisticated understanding of when and how outliers affect means and medians.","2013","2017-09-09 22:11:36","2017-09-09 22:11:36","2014-02-27 05:07:35","273–276","","","","","","Quantified Recess","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","activity trackers; Collaboration; competition; elementary students; fitbit; physical activity; Quantified Self; TinkerPlots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDJEAKC8","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2017-09-09 22:11:36","2017-09-09 22:11:36","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Summary &amp; Reflection</p> <ul> <li>Similarity between EDM and LAK</li> </ul> <div title=""Page 2""> <div> <div> <p>LAK and EDM share the goals of improving education by improving assessment, how problems in education are understood, and how interventions are planned and selected.</p> </div> </div> </div> <ul> <li>The difference between EDM and LAK</li> </ul> <div title=""Page 3""> <div> <div>EDM researchers have placed greater focus on issues of model generalizability (e.g. multi-level cross-validation, replication across data sets). By contrast, LAK researchers have placed greater focus on addressing needs of multiple stakeholders with information drawn from data.</div> <div> </div> <ul> <li>Questions</li> </ul> <p>1. How EDM and LAK collaborates with each other and get the benefits of it</p> <p>2. Does big data really bring in positive impacts in education fields?</p> <p>I think it depends. Big data also can be like the large messy data. How to ask a good question will be a key.</p> <p>3. How to deal with the privacy issues since some educational data may be sensitive?</p> </div> </div>","/Users/sychen/Zotero/storage/IQ4GL685/download.pdf","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN9D4EGD","blogPost","2015","Manai, J","The Learning Analytics Landscape: Tension Between Student Privacy and the Process of Data Mining","Carnegie Foundation for the Advancement of Teaching","","","","http://www.carnegiefoundation.org/blog/the-learning-analytics-landscape-tension-between-student-privacy-and-the-process-of-data-mining/","Data mining is a powerful tool being used by educational institutions to support student success, but often students do not know what data are being","2015-11-06","2017-09-09 22:11:37","2017-09-09 22:11:37","2016-01-06 22:44:02","","","","","","","The Learning Analytics Landscape","","","","","","","","","","","","","","","","","http://www.carnegiefoundation.org/blog/the-learning-analytics-landscape-tension-between-student-privacy-and-the-process-of-data-mining/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8DDB2N5","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2017-09-09 22:11:37","2017-09-09 22:11:37","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIJYKBXZ","journalArticle","2015","Krueger, Keith R.; Moore, Bob","New technology “clouds” student data privacy","Phi Delta Kappan","","0031-7217, 1940-6487","10.1177/0031721715569464","http://pdk.sagepub.com/content/96/5/19","As technology has leaped forward to provide valuable learning tools, parents and policy makers have begun raising concerns about the privacy of student data that schools and systems have. Federal laws are intended to protect students and their families but they have not and will never be able to keep up with rapidly evolving technology. School systems can help themselves and their students by following a list of guidelines, the authors say.","2015-02-01","2017-09-09 22:11:37","2017-09-09 22:11:37","2015-12-17 16:16:17","19-24","","5","96","","Phi Delta Kappan","","","","","","","","en","","","","","pdk.sagepub.com","","","","","http://pdk.sagepub.com/content/96/5/19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NI7QB9XT","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2017-09-09 22:11:37","2017-09-09 22:11:37","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNKWPHRJ","videoRecording","2013","Poulson, Barton","Up and Running with R","","","","","http://www.lynda.com/R-tutorials/Up-Running-R/120612-2.html?org=nyu.edu","Introduces the R statistical processing language, including how to install R, read data from SPSS and spreadsheets, analyze data, and create charts and plots.","2013-04-04","2017-09-09 22:11:38","2017-09-09 22:11:38","2016-01-17 18:03:03","","","","","","","","","","","","Lynda.com","","","","","","","","","","","","http://www.lynda.com/R-tutorials/Up-Running-R/120612-2.html?org=nyu.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHPBWIRE","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2017-09-09 22:11:38","2017-09-09 22:11:38","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>Summary &amp; Reflection</p> <p>1. Learning is one of the most multi-dimensional things. The problem of measurement is sometimes we need to simply it too much in order to capture data that we could use.</p> <p>2. Learning is too board that means so many different things. (too contextual, too idiosyncratic to measure it in the psychometric meaningful way)</p> <p>3. Learning is most personal thing we do, nobody can do learning for us. The construct of culture construct is really difficult to define its measure (e.g, particular behavior patterns or output). Can only see the results but not the mind.</p> <p>4. Probably there is no reliable, simple, proxy indicators for learning that we can trust. Learning is everything from curiosity to memory, everything from imagination to be able to paraphrase and say it yourself.</p> <p>5. Certain concepts can represent ""understanding"", e.g, when students teach each other, that increases transfer across domains, reinforces memory.</p> <p>6. Think about culture things, social implications, individual psychological things.</p> <p>7. Don't know what people's competence were coming into learning problems. e.g, subject master get perfect scores on MOOCS does not mean they learn anything from the class. Learning is like multiple competence strung together. (should be longitudinal study)</p> <p>8. Measuring is long with self-efficacy and achievement</p> <p>9. Build connections, narrate stories as students go through learning.</p> <p>10. Analytic should not be only a diagnosis of what is happening now, but should be a doorway to suggest what else is possible.</p>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
