"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4UMWGPLH","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:41:51","2019-09-17 21:41:51","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>The article presents an exciting view of the future, where education is ""on the threshold of a data-intensive revolution"". By equipping policymakers and researchers with new powerful forms of evidence gathering analytics, they are given access to a new array of information that has the potential to change the world we live in. But as the author makes clear, such tool also is grounded by epistemological assumptions and pedagogical practices, meaning that we should also be wary of biases and ethical implications concerned with such analytics.</p> <p> </p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RYZ2Z5L","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:41:51","2019-09-17 21:41:51","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>The chapter, which details the perils of ""big data"", might sound cliched by now - but it still contains a few food for thought. I am particularly interested by its presentation of the various approaches and guidelines set forth to ensure ethical data usage, of which I believe transparency is key - so that the students are not only aware of the data being collected but are ensured full access. While there is no easy answer here, I think as frameworks and codes regarding data usage develop we can eventually arrive at a win-win scenario that will benefit all parties.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ULQLUA2","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:41:51","2019-09-17 21:41:51","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div title=""Page 1""> <div> <div> <div> <p><span style=""text-decoration: underline;""><strong>Chapter 1: Theory and Learning Analytics</strong> </span></p> <p>Learning analytics</p> <p>By design (by accident?) use of LA tools is always aligned with assessment regimes, which are grounded in epistemological assumptions and pedagogical practices</p> <p>Claim analysis</p> <ul> <li>analysis of the implicit or explicit stances taken in the design and developing of technologies</li> <li>productive human-centered method to address key questinos</li> </ul> <p> </p> <div class=""page"" title=""Page 1""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p>Anderson (2008) envisaged the death of theory, models, and scientific methods- data will tell us directly as we discern</p> <div title=""Page 1""> <div> <div> <div> <p>when people become aware that their behavior is under surveillance, with potentially important consequences, they may choose to adapt to game the system</p> </div> </div> </div> </div> <div title=""Page 2""> <div> <div> <div> <p>for educators and learners, the interest turns on the ability to gain insight in a timely manner that could improve outcomes.</p> <p> </p> <p><strong>Theory into practice</strong></p> <p>Epistemology-assessment-pedagogy (EPA) tirad</p> <p><strong>EPA Provocations</strong></p> <p><strong>Epistemology </strong></p> <ul> <li><strong>what are we measuring</strong></li> <li><strong>how are we measuring</strong></li> </ul> <p><strong>Pedagogy</strong></p> <ul> <li><strong>why is the knowledge important to us</strong></li> <li><strong>who is the assessment/analytics for</strong></li> </ul> <p><strong>Assessment</strong></p> <ul> <li><strong>where does the assessment happen</strong></li> <li><strong>when does the assessment and feedback occur</strong></li> </ul> <p> </p> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B497G382","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:41:51","2019-09-17 21:41:51","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div title=""Page 1""> <div> <div> <div> <p><span style=""text-decoration: underline;""><strong>Chapter 6: Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data</strong> </span></p> <p><strong>Predictive vs. Explanatory Model</strong></p> <ul> <li><strong>predictive model</strong> <ul> <li>aim to find a combination of features that best predict outcomes</li> <li>assessed by accuracy in predicting held-out data</li> </ul> </li> <li><strong>explanatory model</strong> <ul> <li>seeks to identify interpretable causal relationships between constructs that can be either observed or inferred from the data</li> </ul> </li> <li>vast majority of educational data mining research has focused on achieving predictive accuracy, but the field could benefit from more focus on developing explanatory model</li> </ul> <p><strong>COGNITIVE MODEL DISCOVERY</strong></p> <div class=""page"" title=""Page 2""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <ul> <li>cognitive models are an important basis for the instructional design of automated tutors and are important for accurate assessment of learning and knowledge</li> <li>traditional methods requires human input/time consuming<br /> <ul> <li>structured interviews, think-aloud protocols, rational analysis, and</li> </ul> </li> <li>THEREFORE: models based on data-driven techniques that alleviate</li> </ul> <p><strong>Data-driven cognitive model improvement</strong></p> <p><strong>Learning Factor Analysis</strong></p> <div title=""Page 3""> <div> <div> <div> <ul> <li>developed to automate the data-driven method of KC model refinement to further alleviate the problem of time consuming factor</li> </ul> <p><strong>Automated Cognitive Model Discovery Using SimStudent</strong></p> <p><strong>STUDENT GROUPING</strong></p> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HHICM2K","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:41:51","2019-09-17 21:41:51","","134-136","","","","","","","","","","","","","","","","","","","","","<p><span style=""text-decoration: underline;""><strong>Statistical graphics: making information clear – and beautiful</strong></span><strong></strong></p> <p><strong>Information visualization (InfoVis)</strong></p> <ul> <li>Statistical graphics <ul> <li>importance shifted from making the graphic beautiful to making it clear</li> </ul> </li> </ul> <p><strong>Visualizations of measles epidemic</strong></p> <ul> <li>Harare, Zimbabwe in the face of measles outbreak from autumn 2009 to 2010</li> </ul> <p><strong>Default graphs in Excel and R</strong></p> <div title=""Page 1""> <div> <div> <div> <ul> <li>plots of the time series of cumulative confirmed measles cases</li> <li>they are labelled and scaled to fill an entire screen. The time series presented here is uncomplicated and could easily fit on a small portion of the page, if the labelling were sized appropriately</li> </ul> <div title=""Page 2""> <div> <div> <div> <p><strong>Constructing a more beautiful and informative summary of data and inferences</strong></p> <ul> <li><strong>2 key decisions</strong> <ul> <li>who is target audience</li> <li>what are you trying to show</li> </ul> </li> <li><strong>guiding principles</strong><br /> <ul> <li>avoid distracting elements</li> <li>use informative color</li> <li>keep the figure simple</li> </ul> </li> </ul> <p><strong>Further graphs for data exploration</strong></p> <ul> <li><strong>another guiding principles</strong> <ul> <li>keep the x-and y-axes on the same scale</li> <li>eliminate repetitive info</li> <li>maintain consistency across plots</li> </ul> </li> </ul> <p> </p> </div> </div> </div> </div> </div> </div> </div> </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDQQSWS2","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:41:51","2019-09-17 21:41:51","","","","","","","","","","","","","","","","","","","","","","","<p>The word ""statistics"" carries with it the old world, boring, archaic, rule-based; the word ""information visualization"", however, sounds exciting, flashy, albeit a bit fraudulent. In visualizing our data as practitioners, we must do our best to meet somewhere at the middle, to show the best of both worlds, and in doing so the Gelman article will be a great handbook. Our graphics must take into account the two pillars of discovery and communication goals, being both intuitive and truthful; it must be interesting but not overly flashy. They must be founded by deeply rooted statistical principles while also presenting an attractive and easy-to-understand illustration to the layman audience.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VA8JGP28","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:41:51","2019-09-17 21:41:51","","","","","","","","","","","","","","","","","Blog","","","","","","<p>I laughed out loud at the last type presented in the Trifeca checklist, ""graphical disasters"" that fail at all three pillars - the Citibike Chart is very poorly designed both graphically and statistically, and it is impossible to know what question the chart is supposed to be answering. I agree that the three elements presented here - the question, the data, and the visual - are the keys to visual presentation and we should always keep these in mind as practitioners.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGT4Z79J","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:41:51","2019-09-17 21:41:51","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p><span style=""text-decoration: underline;""><strong>Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis</strong></span></p> <p>Longitudinal K-12 teacher assigned grading histories for entire cohorts of students from school district</p> <p>hierarchical cluster analysis</p> <p>pattern visualization</p> <p>For the aid in data-driven decision making by teachers and administrators</p> <p>Overall schooling outcomes (student dropout, college entrance exam)  - identified from data patterns and compared to past methods of the identification</p> <p> </p> <p>Result: hierarchical cluster analysis correctly identified over 80 percent of students who dropped out using entire student grade history patterns</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK2LRLII","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:41:52","2019-09-17 21:41:52","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<div title=""Page 1""> <div> <div> <p><span style=""text-decoration: underline;""><strong>Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research</strong> </span></p> </div> </div> </div> <p>Social relationships/interactions</p> <p>How learning relationships form in undergraduate classrooms</p> <p>Impacts that these relationships have on learning outcomes</p> <p><strong>Social Network Analysis (SNA)</strong></p> <ul> <li>tool for investigating questions involving relational data</li> <li>Using SNA in classroom setting allows rich and informative analyses to provide initial tools</li> <li>Can inform our understanding of student network formation in classrooms and the types of impacts these networks have on students</li> <li>Can give a baseline understanding of classroom net- work norms and illuminate major aspects of undergraduate learning</li> <li>Basics: <ul> <li>aims to understand the determinants, structure, and consequences of relationships between actors/nodes</li> </ul> </li> </ul> <p><strong>Network Types</strong></p> <ul> <li><strong>Unipartite/ monopartite/ one-mode</strong> <ul> <li>network consist of only one type of actor</li> </ul> </li> <li><strong>Bipartite/ two-mode</strong> <ul> <li>network consist of 2 types of actor</li> </ul> </li> <li><strong>Undirected</strong> <br /> <ul> <li>ties between actors are inherently bidirectional</li> </ul> </li> <li><strong>Directed</strong> <ul> <li>relational interest of network as an associated direction</li> </ul> </li> <li><strong>Binary ties</strong> <ul> <li>represents whether or not a relation exists</li> </ul> </li> <li><strong>Valued ties</strong> <ul> <li>include additional quantitative info about the relation</li> </ul> </li> </ul> <div title=""Page 2""> <div> <div> <p><strong>Network Data Collection</strong></p> <ul> <li>requires deciding on a time frame for the relationships of interest (changing overtime)</li> <li>how to sample from population <ul> <li>egocentric <ul> <li>focus on sample of individuals and local social environment</li> <li>without explicit attempt to connect the dots</li> </ul> </li> <li>census network <ul> <li>whole networks</li> <li>collect data from bounded population of actors</li> <li>complete picture of the network</li> </ul> </li> </ul> </li> </ul> <p><strong>Network Level Concepts and Measures</strong></p> <ul> <li>Network density <ul> <li>measurement of how many links are observed in a whole network divided by the total number of links that could exist if every actor were connected to every other actor</li> </ul> </li> <li>homophily</li> <li>triad census <ul> <li>simple count of how many different triad types are in network</li> </ul> </li> <li>transitivity <ul> <li>simple local measure of more general set of concepts related to clustering or cohesion <ul> <li>transitive triad</li> <li>cyclical triad</li> </ul> </li> </ul> </li> </ul> <p><strong>Actor-level variables</strong></p> <ul> <li><strong> centrality<br /></strong></li> <li><strong>degree</strong></li> <li><strong>closeness</strong></li> <li><strong>betweeness</strong></li> <li><strong>eigen-vector centrailty</strong></li> </ul> <p>10-wk introductory biology course with 187 students</p> </div> </div> </div> <p>Descriptive analyses of the structure of the network of costudying relationships</p> <div title=""Page 1""> <div> <div> <p>generative processes that create observed study networks between students and also test for an association between network position and success on exams.</p> <p>Practical issues</p> <ul> <li>unique aspects of human subjects review for network studies</li> </ul> </div> </div> </div>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDXDTSCP","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:41:52","2019-09-17 21:41:52","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p><span style=""text-decoration: underline;""><strong>Why Students Should Own Their Educational Data</strong></span></p> <p>Personalized study materials sounds like every learning analyst's dream - as Todd Rose states, the ""average learner"" is but a myth, and tailored learning may solve for discrepancies such as students with high science aptitude but low reading skills. However, sadly as of right now such tailored learning process and its adaptive textbooks sounds cost-prohibitive and difficult to implement in a classroom setting (for a teacher won't be able to tailor to all these individual student skills). Work remains to be done in the area.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
