"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HHDMX8A3","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:47:33","2019-09-17 21:47:33","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""font-size: 10.5pt; font-family: DengXian;"">Psychological measurements can provide us a relatively reliable standard to make claims about states of mind. From this article, we can learn a thematic introduction of constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses </span></p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJXTCZJL","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:47:33","2019-09-17 21:47:33","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>This article tells us that as the learning analytics matures and becomes more pervasive in our society, how to deal ethics properly and protect privacy against surveillance have 9become important issues to consider. Also, the chapter provides an overview for us of how our own thinking has developed and maps our journey against broader developments in the field.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96WBP9ZM","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:47:33","2019-09-17 21:47:33","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p><span style=""font-size: 12.0pt; line-height: 107%; font-family: 'Times New Roman',serif;"">Predictive analytics are a group of techniques which can make predictions about uncertain future events based on the previous observations. As for now, computational and statistical methods for predictive modelling are pretty mature. As for statistical modeling, there are many types of data and predictive models can be considered. In order to choose the best prediction upon the models, there are many ways to evaluate and test the forecasting accuracy. With predictive models becoming increasingly complex and incomprehensible, it is very important to discuss more and make a better drive methodological choice between explanatory and predictive modelling techniques.</span></p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAWJZ8N4","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:47:33","2019-09-17 21:47:33","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>In order to get a better predict outcomes, more explanatory models can be built and developed. Educational data mining efforts are more focus on improving to learn outcomes/or theory which lad to on impelling two types of models: the statistical model and the cognitive model. From the model discovery and analysis, students can make a comparison from the resulting model. The relationship between educational data mining, learning theory, and the practice of education can produce a better explanatory power of model which can forecast accurate outcome than others.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLQDZ25M","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:47:34","2019-09-17 21:47:34","","134-136","","","","","","","","","","","","","","","","","","","","","<p style=""text-align: left;"">Making information clear and beautiful graphics is an obvious way to present information. But not all graphs are created equal. A well-designed graph can make clear what an ill-thought-out one conceals.The author provide default plots of the time series of cumulative confirmed measles cases in Excel and in the package familiar to all statisticians, R. The Excel and R graphs share an even more serious problem, which is that they are labelled and scaled to fill an entire screen. The time series presented here is uncomplicated and could easily fit on a small portion of the page, if the labeling were sized appropriately.The author offered means to create better graphs.To  construct a more beautiful and informative summary of data and inferences, every decision needs to be made consciously and with intent. Improving figures requires two key decisions:Who is your target audience? What are you trying to show? To create the small multiple plots, we utilized another set of guiding principles: Keep the x- and y-axes on the same scale. Eliminate repetitive information. Maintain consistency across plots.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LY8F9A9G","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:47:34","2019-09-17 21:47:34","","","","","","","","","","","","","","","","","","","","","","","<p>School personnel currently lack an effective method to pattern and The importance of graphical displays in statistical practice has been recognized sporadically in the statistical literature over the past century. Outside of statistics, infographics (also called information visualization or Infovis) is huge, but their purveyors and enthusiasts appear largely to be uninterested in statistical principles.</p> <p>The purpose of the present article is to start a conversation between practitioners in statistical graphics and information visualization. The author wanted to get the best researchers in these fields to learn from each other by identifying the different goals that motivate work in these two areas. The paper discussed a lot about the different goals involved in creating statistical graphics, and so it is appropriate to end our discussion with a statement of our goals in writing this article. We would like to broaden the communication between graphic designers, software designers, statisticians, and users of statistical methods. This is an old point but one that bears repeating. By recognizing the diversity of goals involved in data graphics, developers and users alike might be in a better position to create eye-catching as well as informative visualizations of data and models, even if both these goals are not typically achieved in a single display.</p> <p>Ultimately the interpretation of a graph is a joint product of the data, the designer, and the viewer. With the increasing prominence of innovative infographics in the news media and the web, viewers are changing their expectations of data presentation, and, more than ever before, statisticians should consider the diversity of means to achieving the very different goals of attracting attention, displaying patterns, displaying data in a way that allows for discovery, and getting viewers intellectually involved with data. As is illustrated in the historical reviews such as Wainer (1997) and Friendly (2006), there is a centuries-long tradition of data graphics that are both informative and beautiful. We should seek to continue this collective endeavor, and we hope the present article sparks a discussion among statisticians, computer scientists, graphic designers, psychologists, and others who are interested in the graphical presentation of data and inferences.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RR27ZGAM","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:47:34","2019-09-17 21:47:34","","","","","","","","","","","","","","","","","Blog","","","","","","<p>Explore the form of junk data from three questions :1. what is the question? 2. what does the data say? 3. what does the visual say. The lack of answer of any of three question will leads to a type of junk chart.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VH78L6P","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:47:34","2019-09-17 21:47:34","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators.</p> <p>The study design and the hierarchical clustering and visualization clustergram methods are adapted from the data mining literature detailed above. The central purpose of this study is to introduce hierarchical cluster analysis and pattern visualization methods from the data mining literature and demonstrate the method’s utility through one example, identification of student dropout from student K-12 longitudinal grades.</p> <p>This study details the application of HCA and visualization of subject-specific teacher assigned grades. While there is disagreement in the data mining literature over which distance measure and clustering algorithm are best for different applications, the uncentered correlation and average linkage methods were chosen here based on their known ability to provide distinctive clusters to provide an initial example application of the method.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8DFQUEZX","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:47:34","2019-09-17 21:47:34","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p style=""margin-left: .25in; text-indent: 0in;"">This passage provides a very new perspective to help the performance in class. It tries to develop student performance from social network. Some researches show that their might be an inner relationship between the position in social network and class performance for students. It could be a new way to discover how could we use big data and users history and records to analysis student’s performance in class, could this be a way to help students get better performance can be discussed more.</p> <p style=""margin-left: .25in; text-indent: 0in;""> </p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKNAKREH","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:47:35","2019-09-17 21:47:35","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p style=""margin-left: .25in; text-indent: 0in;"">Different students have different ways to study, owning their educational data could help students know themselves more, therefore improve their study performance. Nowadays, data analyzing is changing from groups to individuals. Group analyzing is useful but not applicable to everyone, behavior information should be analyzed based on each person. It is because different people are different, group analyzing may not be able to perfectly represent their study behavior. It could be great to have a more specific study methods for each student rather than a group.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
