"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B3C3S8Z4","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:46:01","2019-09-17 21:46:01","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TICVWV9D","webpage","2015","RStudio","The Data Wrangling Cheatsheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015-01","2019-09-17 21:46:02","2019-09-17 21:46:02","2016-01-18 18:42:27","","","","","","","","","","","","","","","","","","","","","","<p>Very Very useful. I referred back to this cheat sheet plenty of times in this semester.</p>","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WYJ7KI5R","bookSection","2017","Klerkx, Joris; Verbert, Katrien; Duval, Erik","Learning Analytics Dashboards","The Handbook of Learning Analytics","978-0-9952408-0-3","","","www.solaresearch.org","","2017","2019-09-17 21:46:03","2019-09-17 21:46:03","","","","","","","","","","","","","","Vancouver, BC, Canada","EN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5GEE5RG","journalArticle","1984","Wainer, H","How to display data badly","The American Statistician","","","","","","1984","2019-09-17 21:46:03","2019-09-17 21:46:03","","137-147","","2","38","","","","","","","","","","","","","","","","","","<p>It's not on the syllabus nor the link could direct to this article.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HAD6B33","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 22:01:10","2019-09-17 22:01:10","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>The use of learning analytics tools is always aligned with assessment regimes, which are in turn grounded in epistemological assumptions and pedagogical practices. </p> <p>The Espistemology-Assessment-Pedagogy Traid and EPA provocations to provide actionable guidance for those developing learning analytics approaches and tools.</p> <p>Epistemology — What Are We Measuring? &amp; How are we measuring?</p> <p>We should keep in mind that what ""knowledge"" looks like within the analytic approach being developed, asking, What are we trying to measure?</p> <p>Pedagogy — Why is this Knowledge Important to Us?/Who is assessment/analytic for?</p> <p>We should consider who the target of the device is, whether it supports teachers, parents, students, or administrators in understanding some aspect of learning.</p> <p>Assessment — Where Does the Assessment Happen?</p> <p>When Does the Assessment, and Feedback, Occur?</p> <p> </p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74VXAVV3","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 22:01:10","2019-09-17 22:01:10","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Learning analytics bring great benefits for education, however, it also come up with associated ethical issues.</p> <p>Benefits includes:</p> <p>-quality assurance and quality improvement</p> <p>-boosting retention rates</p> <p>-assessing and acting upon differential outcome</p> <p>-develop adaptive learning</p> <p>Although considerations of the ethical implications of learning analytics procedures, some ethical issue may be be raised:</p> <p>-data-proxy-induced hardship that disadvantage the embodied referent</p> <p>-conflict interests and claims of a range of stakeholders, such as students and institutions.</p> <p>Ethical issue may be raised during the process of</p> <p>-the location and interpretation of data</p> <p>-informed consent, privacy and de-identification of data</p> <p>-the management, classification and storage of data</p> <p>Six principle of the policy framework about students' data protection:</p> <p>-Learning analytics as moral practice</p> <p>-Students as agents</p> <p>-Student identity and performance as temporal dynamic constructs</p> <p>-Student success as a compley,multidimensional phenomenon</p> <p>-Transparency as important</p> <p>-Higher education cannot afford not to use data</p> <p>Six principle of student-centered learning analytics:</p> <p>-Use of aggregated, non-personalized data, students should be able to make informed opt in/out decisions</p> <p>-have full knowledge of which data is being collected and how it is used</p> <p>-personal data records are complete and up to data</p> <p>-surveillance of activities and the harvesting of data must not harm student progress</p> <p>-Algorithmic output should be subject to human review, and corrected if needed</p> <p>-provides context and time-specific, provisional incomplete pictures of students, and algorithms should be frequently reviewed and validated.</p> <p>Four principles guide for LA</p> <p>-personal information be used only in the context and purpose for it was provided</p> <p>-subsequent use of data should be reconcilable with the original context and purpose</p> <p>-data should be carefully collected and analyzed</p> <p>-data may be collected when the purpose/use of the collected data is made explicitly clear</p> <p>Question: How to provide adaptive learning and personalized assistance if use aggregated, non-personalized data?</p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9X5R4VT","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 22:01:10","2019-09-17 22:01:10","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Predictive modelling has become a core practice in both education data mining and learning analytics to predict student success as operationalized by academic achievement.</p> <p><span style=""color: #ff0000;"">predictive analysis in education:</span></p> <p>1) measurement of learning</p> <p>2) teaching</p> <p>3) proxy metrics of value for administrations</p> <p><span style=""color: #ff0000;"">Before analyzing,</span></p> <p>-we need to make sure the sample represents the general population with minimum bias.</p> <p>-We need to generate accurate scenarios.</p> <p>Several factors make predictive modelling more difficult, including</p> <p>-sparse and noisy data</p> <p>-inference produced by predictive models may be involved in ethical or equitable issues</p> <p>Q: For the missing data, if the sample size is large, should we just delete the missing data?</p> <p>For the noisy data, is their a way to pre-scan the data quality?</p> <p><span style=""color: #ff0000;"">During analyzing:</span></p> <p>-identify the variables</p> <p>-multiple models created to predict same outcome</p> <p>-event-data is increasing important nowadays. It is complex data and request Feature engineering.</p> <p>Q: Gender, SES status, race as variables might cause bias, how to minimize the prediction model bias? Multiple models to predict the same variable is a great way, are there any other way?</p> <p><span style=""color: #ff0000;"">Things need to be pay attention:</span></p> <p>-remove highly correlated attributes otherwise it will cause over-emphasis on the repeated or correlated features.</p> <p>-deal with missing data, either remove or fill it in records by finding other similar records</p> <p>-choice appropriate learning algorithm</p> <p><span style=""color: #ff0000;"">9 most commonly used algorithm in education data:</span></p> <p>1. Liner Regression</p> <p>2.Logistic Regression</p> <p>3. Nearest Neighbours Classifiers</p> <p>4. Decision Trees</p> <p>5. Naive Bayes Classifiers</p> <p>6. Bayesian Networks</p> <p>7. Support Vector Machines</p> <p>8. Neural Networks</p> <p>9. Ensemble Methods</p> <p><span style=""color: #ff0000;"">Assess the quality of models：</span></p> <p>-k-fold cross validation</p> <p>-used the same manner as will be used in situ</p> <p>* The context of Learning analytics is highly interdisciplinary and requires not only computer scientist but also highly depends on experienced educator, psychologist and policy expert. Educational experience is important!! (Which I have 😁）</p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZ8Q4IHS","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 22:01:10","2019-09-17 22:01:10","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Two statistical modelling of educational data: Explanatory model and predictive models. </p> <p>Predictive model: predict outcomes</p> <p>Explanatory model:identify interpretable causal relationships between constructs that can be either observed or inferred from the data. Although vast majority of researches focus on achieving predictive accuracy, developing explanatory models might benefits more about improve students learning outcomes.</p> <p><span style=""color: #ff0000;"">Cognitive model：</span></p> <p><span style=""color: #000000;"">They map knowledge component to problem steps or tasks on which student performance can be observed. They are important basis for the instructional design of automated tutors and improving the accuracy assessment of learning and knowledge.</span></p> <p><span style=""color: #000000;"">KC models (Q matrix) driving adaptive learning, and creation of new tasks to target the new skills. KC models refinement can result in instructional modifications and improved learning outcomes.</span></p> <p><span style=""color: #000000;"">Why explanatory models:</span></p> <p><span style=""color: #000000;"">1. Start with ""clean"" independent variables that have either simple functions or map to clearly defined constructs.</span></p> <p><span style=""color: #000000;"">2. Dependent variable maps to a well-defined construct.</span></p> <p><span style=""color: #000000;"">3. Be characterized by fewer estimated parameters.</span></p> <p><span style=""color: #000000;"">Q：Does explanatory model have less biased comparing to predictive model because it basic descriptive analysis and tell about the truth.</span></p> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUDPFSGJ","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 22:01:11","2019-09-17 22:01:11","","134-136","","","","","","","","","","","","","","","","","","","","","<p>""There’s concern that investment in personalised learning may be a boost for Silicon Valley but a kick in the teeth for teachers."" Why?</p> <p>1. Education has always been about acquiring knowledge and skills relevant to a profession, but also about acquiring general knowledge.</p> <p>2. While learners may cope poorly with trying to learn in a way that’s not suited to them, in the real world life will not always be so accommodating. Their lack of ability to compensate may mean they suffer as a result.</p> <p>3. Children’s preferences are not fixed – in fact they often change as immediate responses to the environment.</p> <p>I partially disagree with author's opinion about personalized learning. I do not think personalized learning is feeding children only the content they are interested in, however, it helps children learn everything they needed in the future in the way that they are good at. It is commonly known that there are auditory, visual and kinesthetic type of learners. Providing personalized learning could maximize their learning efficiency. Also, for the topic that children do not like, adaptive learning style is helpful to motivate students.</p> <p>I do agree with author's opinion that personalized learning combined with emotional analytics, personal inquiry, dynamic and stealth assessment and it is something that takes time, conversation and collaboration, could not be done just by simply pouring millions of dollars into technology.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7EYUM42","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 22:01:11","2019-09-17 22:01:11","","","","","","","","","","","","","","","","","","","","","","","<p>-Try not to cram into a single graph what can be better displayed in two or more.</p> <p>I've read Tufte's book, <em>The Visual Display of Quantitative Information</em>. It's an useful and interesting book talking about how to make effective and informative graph. Recommended everyone to read it.</p> <p>Why visual display important for data analysis?</p> <p>- Graphics are for the qualitative/descriptive</p> <p>-Graphics are for comparison</p> <p>-Graphics are for impact</p> <p>-Graphics should report the results of careful data analysis</p> <p>Statistical data visualization: not focused on visual appeal but on facilitation an understanding of patterns in an applied problem.</p> <p>Infographics: attractive, encourage the viewer to think about a particular dataset. Both important, different perspectives.</p> <p> </p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
