"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NDQLP6Q7","journalArticle","","Siemens, George","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","","","","","","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities – Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","","2019-12-24 23:46:51","2019-12-24 23:46:51","","3","","","","","","","","","","","","","en","","","","","Zotero","","","<p>This paper compares the similarities and distinctions between two research communities: Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK). Given the overlaps in research interests, goals, and approaches between the EDM and LAK communities, the authors of this paper recommend increased and formal communication and collaboration between these communities. A formal relationship will allow each community to continue developing their specialized and distinct research methods and tools, while simultaneously increasing opportunities for collaborative research and sharing of research findings between the communities.This alliance would also strengthen our opportunities to influence non-academic research and practice. </p>","/Users/YangYi/Zotero/storage/EHEEPHGM/Siemens - Learning Analytics and Educational Data Mining To.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILJWKS7F","book","2014","Grolemund, Garrett","Hands-on programming with R","","978-1-4493-5901-0","","","","","2014","2019-12-24 23:47:09","2019-12-24 23:47:09","","","230","","","","","","","","","","O'Reilly","Sebastopol, CA","en","","","","","Library of Congress ISBN","QA276.45.R3 G76 2014","OCLC: ocn887746093","<p>It is a lot of fun to read this book. Preliminary but easy to read. I would recommend it to students who are new to R.</p>","/Users/YangYi/Zotero/storage/DPA4AJ8T/Grolemund - 2014 - Hands-on programming with R.pdf","","","Data processing; Handbooks, manuals, etc; Mathematical statistics; Programmeertalen; R (Computer program language); Statistiek","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAZCGCKM","bookSection","2017","University of South Africa, South Africa; Prinsloo, Paul; Slade, Sharon; The Open University, United Kingdom","Ethics and Learning Analytics: Charting the (Un)Charted","Handbook of Learning Analytics","978-0-9952408-0-3","","","https://solaresearch.org/hla-17/hla17-chapter4","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the eld, and concluding by mapping future issues for consideration.","2017-05","2019-12-24 23:48:42","2019-12-25 21:50:00","2019-12-24 23:48:42","49-57","","","","","","Ethics and Learning Analytics","","","","","Society for Learning Analytics Research (SoLAR)","","en","","","","","DOI.org (Crossref)","","DOI: 10.18608/hla17.004","<p>This chapter provides an overview of how our own thinking has developed alongside boarder developments in this field. This chapter maps how far the discourses surrounding the ethical implications of learning analytics have come, as well as some of the future considerations. The practical implementation of that understanding remains largely incomplete, but still wholly pertinent.</p>","/Users/YangYi/Zotero/storage/UELDAP6W/University of South Africa, South Africa et al. - 2017 - Ethics and Learning Analytics Charting the (Un)Ch.pdf","","","","Columbia University, USA; Lang, Charles; Siemens, George; University of Texas at Arlington, USA; Wise, Alyssa; New York University, USA; Gasevic, Dragan; University of Edinburgh, UK","","","","","","","","","","","","","","","","","","","First","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMERU9FH","bookSection","2017","University of Technology Sydney, Australia; Knight, Simon; Buckingham Shum, Simon; University of Technology Sydney, Australia","Theory and Learning Analytics","Handbook of Learning Analytics","978-0-9952408-0-3","","","https://solaresearch.org/hla-17/hla17-chapter1","","2017-05","2019-12-24 23:49:38","2019-12-24 23:49:39","2019-12-24 23:49:38","17-22","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","","en","","","","","DOI.org (Crossref)","","DOI: 10.18608/hla17.001","<p>Through the provocations, we have drawn attention to the ways in which analytic approaches and artifacts subscribe to particular perspectives on learning: they implicitly make claims provocations drawn from them. Tools can be used in many ways, and should not pragmatic tool for thinking, for designers, educators, researchers, and students. The authors propose that it is productive to consider these provocations in order to reflect on the EPA claims being made through the deployment of a learning analytic tool within a given context. </p>","/Users/YangYi/Zotero/storage/EPAPRXCL/University of Technology Sydney, Australia et al. - 2017 - Theory and Learning Analytics.pdf","","","","Columbia University, USA; Lang, Charles; Siemens, George; University of Texas at Arlington, USA; Wise, Alyssa; New York University, USA; Gasevic, Dragan; University of Edinburgh, UK","","","","","","","","","","","","","","","","","","","First","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8UE235R","journalArticle","2019","Greller, Wolfgang; Drachsler, Hendrik","Translating Learning into Numbers: A Generic Framework for Learning Analytics","","","","","","With the increase in available educational data, it is expected that Learning Analytics will become a powerful means to inform and support learners, teachers and their institutions in better understanding and predicting personal learning needs and performance. However, the processes and requirements behind the beneficial application of Learning and Knowledge Analytics as well as the consequences for learning and teaching are still far from being understood. In this paper, we explore the key dimensions of Learning Analytics (LA), the critical problem zones, and some potential dangers to the beneficial exploitation of educational data. We propose and discuss a generic design framework that can act as a useful guide for setting up Learning Analytics services in support of educational practice and learner guidance, in quality assurance, curriculum development, and in improving teacher effectiveness and efficiency.","2019","2019-12-25 18:46:00","2019-12-25 18:46:00","","17","","","","","","","","","","","","","en","","","","","Zotero","","","<p>The paper explores the key dimensions of Learning Analytics (LA), the critical problem zones, and some potential dangers to the beneficial exploitation of educational data. The authors propose and discuss a generic design framework that can act as a useful guide for setting up Learning Analytics services in support of educational practice and learner guidance, in quality assurance, curriculum development, and in improving teacher effectiveness and efficiency. The proposed framework model stresses the inherent connections between the six different dimensions and the impact of the analytics process on the end user and the data suppliers.</p> <p>This paper intends to inform about soft barriers and limitations of Learning Analytics. The authors identify the required skills and competences that make meaningful use of Learning Analytics data possible to overcome gaps in interpretation literacy among educational stakeholders. They also discuss privacy and ethical issues and suggest ways in which these issues can be addressed through policy guidelines and best practice examples. The authors strongly suggest application developers and researchers not only make their technical environment known and open, but also describe the contextual environment and expectations from the users along the lines of the framework. They also suggest evaluating the growing number of LA application showcases and testing for consistency in the descriptive values of the model. </p>","/Users/YangYi/Zotero/storage/3FQBY7LL/Greller and Drachsler - 2019 - Translating Learning into Numbers A Generic Frame.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EJK3TVL","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedins of the Fourth International Conference on Learning Analytics And Knowledge - LAK '14","978-1-4503-2664-3","","10.1145/2567574.2567603","http://dl.acm.org/citation.cfm?doid=2567574.2567603","Closing the feedback loop to improve learning is at the heart of good learning analytics practice. However, the quantity of data, and the range of different data sources, can make it difficult to take systematic action on that data. Previous work in the literature has emphasised the need for and value of human meaning-making in the process of interpretation of data to transform it in to actionable intelligence.","2014","2019-12-25 18:51:12","2019-12-25 18:51:12","2019-12-25 18:51:12","49-53","","","","","","Data wranglers","","","","","ACM Press","Indianapolis, Indiana","en","","","","","DOI.org (Crossref)","","","<p>Learning analytics is widely seen as entailing a feedback loop, and closing the loop to improve learning is at the heart of good learning analytics practice. This paper has presented an account of Data Wranglers and concludes the following: a) This approach is high cost in terms of time. b) The Data Wrangler process is not uniform. c) The issues of data quality unearthed through the Data Wrangler process shows the value of sense-making activity. d) Grounded approach is necessary for sense making. e) Substantial organisational change is hard.</p>","/Users/YangYi/Zotero/storage/VSJHTN9R/Clow - 2014 - Data wranglers human interpreters to help close t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedins of the Fourth International Conference","","","","","","","","","","","","","","",""
"RCPIQK2B","webpage","","","Why Students Should Own Their Educational Data – Wired Campus - Blogs - The Chronicle of Higher Education","","","","","https://www.chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","2019-12-25 18:51:35","2019-12-25 18:51:35","2019-12-25 18:51:35","","","","","","","","","","","","","","","","","","","","","","","/Users/YangYi/Zotero/storage/ALBPSR59/54329.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V97BH4BK","webpage","","","Saturday Morning Breakfast Cereal - Women and Children","","","","","http://www.smbc-comics.com/index.php?id=3978","","","2019-12-25 19:02:22","2019-12-25 21:52:03","2019-12-25 19:02:22","","","","","","","","","","","","","","","","","","","","","","<p>We should be careful when making causal inference. More importantly, we need to think it through before applying research findings to educational settings.</p> <p>What do we need all students to become engineers for? I believe that the education system should value diversity and encourage the students to develop their talents and interests.</p>","/Users/YangYi/Zotero/storage/NQW7KKPM/index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJ4CXKJX","journalArticle","","","rmarkdown-cheatsheet-2.0","","","","","","","","2019-12-25 21:33:05","2019-12-25 21:52:20","","2","","","","","","","","","","","","","en","","","","","Zotero","","","<p>This cheatsheet is very helpful and handy.</p>","/Users/YangYi/Zotero/storage/5V64F7L9/rmarkdown-cheatsheet-2.0.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8W9KPZ4G","webpage","","","Network Analysis and Visualization with R and igraph","","","","","https://kateto.net/netscix2016.html","","","2019-12-26 03:14:27","2019-12-26 06:44:25","2019-12-26 03:14:40","","","","","","","","","","","","","","","","","","","","","","<p>This tutorial covers basics of network analysis and visualization with the R package igraph. This workshop focuses on the R implementation of the the igraph library. This tutorial is very clear and informative.</p>","/Users/YangYi/Zotero/storage/JWBVEPEX/netscix2016.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
