"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"64BXFXSX","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2017-09-14 16:45:18","2017-09-14 16:45:18","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>It is amazing to see how to use data well for education. This article elaborates what are teacher-assigned grades as useful data in schools, how to visualize data, what method should be taken, how to do clustergrams and etc. The figure of hierarchical cluster analysis is amazing, but my only question would be that what data should we input to get these results? If situations are different (for example, we are researching for another topic), what necessary data or information should we input? How to choose?</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMWQIPSA","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2017-09-14 16:45:18","2017-09-14 16:45:18","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p style=""text-align: left;"">It is true that social relationships are a important that we need to research. The SNA provides the necessary tool kit, along with the methods of data mining, I do think that using SNA in classroom environments will allow we proceed more information. However, my question is that what kind of analysis can be proved that is validated and reliable? </p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDNJTGH7","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2017-09-14 16:45:18","2017-09-14 16:45:18","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>I tried so many times but cannot view this article from the website.</p>","","","","Learning; Education (general); empirical validity; individual differences; intelligent tutoring systems; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGP22TPY","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2017-09-14 16:45:18","2017-09-14 16:45:18","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKPYNM2G","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2017-09-14 16:45:18","2017-09-14 16:45:18","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p>This book really helps me to know better about machine learning models' key concepts, from the machine learning workflow, different testing mechanisms, evaluation metrics, and terms explanation such as hyperparameters. The A/B test is also interesting.</p> <p> </p> <p>Evaluating Machine Learning Models</p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHSHU69V","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2017-09-14 16:45:18","2017-09-14 16:45:18","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>Class Two. LA and EDM towards communication and collaboration</p> <p><br />It is always confusing for me to differentiate Learning Analytics Knowledge and educational data mining. To me, both of them are bridging the computer science, education and psychology together to solve the problems in education. I guess these problems can be better solved: how to asses learning, how to increase teaching and learning efficiency etc.</p> <p><br />However, how to differentiate learning analytics and educational data mining? The reading provided me a better view: Education Data Mining is an emerging discipline, concerned with developing methods for exploring the unique types of types of data that come from educational settings, and using those methods to better understand students, the settings which they learn in, while the definition for Learning Analytics is: the measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs.  </p> <p><br />They both shared the same goal of improving the quality of analysis of large-scale educational data, to support both basic research and practice in education, the EDM research leverages human judgement in many cases does so to provide labels for classification, while learning analytics uses automated discovery in order to inform humans who make final decisions. In general, LA emphasizes that data is used to empower instructors and learners, while EDM focuses on automated adaption by the computer with no human in the loop.</p> <p><br />The clip also inspires me in thinking about why measuring learning is so difficult. Firstly,  we have to define what “measure” means. Usually we measure things because of conventional symbols that show different levels of outcome, but when in the education field, different culture context, environments, standards etc. all these elements affect our way to decide the results, so that makes it harder. The second thing I noticed is that, measurement is really about the construction. This construction contains the curriculum, environment and everything that it might affects the learning results. So when we considerate measurement, we still have take the whole learning and teaching process into account, this also enhances the difficulty in measuring learning.</p> <p><br />However, as the emerging of Learning Analytics and Educational Data Mining, I think there should be more solutions to measure learning. For example, big data helps collect students’ learning characteristics and also helps plot the learning paths of students. Learning is magic, I have confidence that Educational Data Mining and Learning Analytics together will promote to better measure learning.</p>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"J44B5UM7","webpage","2015","RStudio","The Data Wrangling Cheatsheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015-01","2017-09-14 16:45:19","2017-09-14 16:45:19","2016-01-18 18:42:27","","","","","","","","","","","","","","","","","","","","","","<p style=""text-align: left;"">Reading Data Wrangling cheat sheet provides me better view of what is it and how can I use it. When I saw this sheet for the first time, I still feel a little bit lost like what should I memorize and when should I use it.</p> <p style=""text-align: left;"">It is interesting that when I learned HTML, my professor told us we did not have to memorize the code, however, we have to memorize the hierarchy of the code. Every time as I saw new languages, I was trying to find the relationship between it and languages I learned before. For example, the tidy data reminds me of tidy in HTML, it makes the code look cleaner.</p> <p style=""text-align: left;"">I guess the best way to remember it is to use it again and again. The more practice will entitle me more proficiency.</p>","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZ4TWMGD","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2017-09-14 16:45:19","2017-09-14 16:45:19","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p><span style=""font-family: 'Helvetica Neue',sans-serif; color: black;"">This is a hard piece for me. Terms such as CAI, CMI and collaborative learning etc. are so strange to me. However, after reading I do have more understandin on the data wrangler. The Data Wranglers are a group of academics who analyze data about student learning and prepare reports with actionalble recommendations based on data. This role is to translate the theory described above into practice: to act as human sense-makers, facilitating action on feedback from learners, making better sense of what that feedback means and how the data can be improved. I guess Data Wranglers really helps to improve to better use learning analytics. </span></p> <p><span style=""font-family: 'Helvetica Neue',sans-serif; color: black;"">I do like the examples listed in the article, they really helps me better understand how does Data Wrangler work and how can it reflect students’ information. But I guess it is cost a lot to better use Data Wrangler. If it is nobody’s job to make sense of the data, the risk is that the data do not make sense but nobody realizes. After all, it is for educators and researchers’ better use. It is indeed to have necessary for people to analyze and then to decide, then it makes sense.</span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXZWD627","magazineArticle","2015","Kucirkova, Natalia; FitzGerald, Elizabeth","Zuckerberg is ploughing billions into 'personalised learning' – why?","The Conversation","","","","http://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940","Zuckerburg wants to plough billions into personalised learning, but his way may not be the right way.","2015-12-09","2017-09-14 16:45:19","2017-09-14 16:45:19","2016-01-18 19:14:05","","","","","","","","","","","","","","","","","","","","","","<p>In Zuckerberg's definition, personalised learning means teachers ""working with students to customise instruction to meet the student's individual needs and interests."" I do agree with the dangers brought up by the author, that education has always been acquiring knowledge and skills relevant to a profession, but also the general knowledge, and there is no one learning way suitable for everyone, and students' preferences are not always fixed. And also, there will be a risk that students' data be misused. I think these problems could be solved in some day, but it just takes longer time and we have to have better technology.</p>","","https://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVH4294I","videoRecording","2015","Georgia Tech","Feature Selection","","","","","https://www.youtube.com/watch?v=8CpRLplmdqE","","2015-02-23","2017-09-14 16:45:19","2017-09-14 16:45:19","2016-01-18 19:18:06","","","","","","","","","","","","Youtube","","","","","","","","","","<p>I always think that Machine Learning is so complicated. This video introduces key thoughts of it: interpret ability (in sight). There are so many features we are cared about, we have to decide most important parts from all these tons of features. The curse of dimensionality is that amount of data we made have n squire to two.</p>","","https://www.youtube.com/watch?v=8CpRLplmdqE","","","","","","","","","","","","","","","Udacity","","","","","","","","3:13","","","","","","","","","","","","","","","","","","","","","","","","",""
