"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YCWGISL2","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-28 02:03:27","2019-09-28 02:03:27","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>This article combines 3DM and the usefulness of teacher-assigned grades using a novel form of data mining, patterning and visualization known has hierarchical cluster analysis (HCA), to provide school leaders, researchers and policy makers a method to make better informed decisions in schools earlier, using data<br />already collected on students.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAGNAG3V","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-28 02:03:28","2019-09-28 02:03:28","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<h2 id=""_i2"" class=""article-section__title section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.375rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">INTRODUCTION TO THE CASE STUDY</h2> <h3 id=""_i3"" class=""article-section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.25rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">Network Concepts</h3> <h4 id=""_i4"" class=""article-section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.125rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">Social Network Basics</h4> <h4 id=""_i5"" class=""article-section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.125rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">Network Types</h4> <h4 id=""_i6"" class=""article-section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.125rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">Network Data Collection</h4> <h4 id=""_i7"" class=""article-section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.125rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">Network Level Concepts and Measures</h4> <h3 id=""_i10"" class=""article-section__title"" style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 15px; font-weight: bold; font-size: 1.25rem; color: #000000; font-family: 'Open Sans', sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">Network Methods: Data Collection</h3> <p> </p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVKIT7BN","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-28 02:03:28","2019-09-28 02:03:28","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p><span style=""color: #2a2e2e; font-family: 'Helvetica Neue', arial, sans-serif; font-size: 15px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">I believe the most effective teaching/learning approach, based on extensive research, remains the self-paced, individually guided strategy (ie, the apprentice or tutoring model). However, that model is too expensive and impractical for all but the 1%. Maybe with enough data and design, the model can be replicated through technology, at which point, no more teachers.</span></p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FQEQZCA","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2019-09-28 02:03:28","2019-09-28 02:03:28","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>ACT-R theory of skill knowledge assumes a fundamental distinction between declarative knowledge and procedural knowledge, assuming that skill knowledge is encoded initially in declarative form through experiences</p> <p>Procedural knowledge, in contrast, is goal-oriented and mediates problemsolving behavior.</p> <p>Both declarative and procedural knowledge are strengthened so that performance grows more rapid and reliable.</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MX8QS4BD","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2019-09-28 02:03:29","2019-09-28 02:03:29","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","LAK '12","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p style=""margin: 5px 0px; padding: 0px; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 12px; box-sizing: border-box; color: #000000; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">This interesting paper addresses a valid area of concern. The overall conclusion reached by the authors, that the two disciplinary areas of educational data mining (EDM) and learning analytics and knowledge (LAK) should collaborate more, is certainly true. These two areas are parts of a whole that were created by looking at the same thing from different perspectives.</p> <p style=""margin: 5px 0px; padding: 0px; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 12px; box-sizing: border-box; color: #000000; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">However, it seems to me that the authors are perhaps a little behind the times. There are multiple examples extant in the scientific literature and news media that describe the use of analytics for a variety of purposes, including assisting leaders in making better decisions. It is laudable that the authors believe that, to the extent EDM and LAK can jointly articulate quality standards for research in this area, it may be possible to more effectively communicate these standards to the wider community of tool developers, analytics practitioners, and the broader research community.</p> <p style=""margin: 5px 0px; padding: 0px; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 12px; box-sizing: border-box; color: #000000; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;"">The research and methods from these two disciplines are certainly valuable in the educational field. They deserve a place among the approaches available to assist educational leaders in the creation of better educational opportunities for all. However, the individual disciplinary areas need to be organized to more closely align with each other. That will make it easier to work on articulating quality standards outside these areas, hopefully under the umbrella of a more broadly based organization such as the ACM.</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMRL5MHF","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2019-09-28 02:03:29","2019-09-28 02:03:29","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<ul style=""margin: 1.5em 0px 2em; padding: 0px 0px 0px 25px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; font-size: 16px; line-height: 1.65em; text-align: left; text-indent: 0px; color: #333333; font-family: Georgia, 'Droid Serif', Times, serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 300; letter-spacing: normal; orphans: 2; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;""> <li style=""margin: 0.5em 0px 0.65em !important; padding: 0px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; line-height: 1.65em; font-size: 16px; text-align: left; list-style: outside circle;"">Learn the stages involved when developing a machine-learning model for use in a software application</li> <li style=""margin: 0.5em 0px 0.65em !important; padding: 0px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; line-height: 1.65em; font-size: 16px; text-align: left; list-style: outside circle;"">Understand the metrics used for supervised learning models, including classification, regression, and ranking</li> <li style=""margin: 0.5em 0px 0.65em !important; padding: 0px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; line-height: 1.65em; font-size: 16px; text-align: left; list-style: outside circle;"">Walk through evaluation mechanisms, such as hold?out validation, cross-validation, and bootstrapping</li> <li style=""margin: 0.5em 0px 0.65em !important; padding: 0px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; line-height: 1.65em; font-size: 16px; text-align: left; list-style: outside circle;"">Explore hyperparameter tuning in detail, and discover why it’s so difficult</li> <li style=""margin: 0.5em 0px 0.65em !important; padding: 0px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; line-height: 1.65em; font-size: 16px; text-align: left; list-style: outside circle;"">Learn the pitfalls of A/B testing, and examine a promising alternative: multi-armed bandits</li> <li style=""margin: 0.5em 0px 0.65em !important; padding: 0px; border: none; text-rendering: optimizelegibility; font-kerning: normal; text-size-adjust: 100%; box-sizing: border-box; line-height: 1.65em; font-size: 16px; text-align: left; list-style: outside circle;"">Get suggestions for further reading, as well as useful software packages</li> </ul>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RQUCURR","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2019-09-28 02:03:29","2019-09-28 02:03:29","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p><span style=""color: #0d0d0d; font-family: Roboto, Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: pre-wrap; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #f9f9f9; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Several higher education learning and assessment professionals discuss the difficulties of measuring learning.</span></p>","","","","Learning; Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QK4CT8H","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2019-09-28 02:03:30","2019-09-28 02:03:30","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>So cool!</p> <p>Students learn math and then using standardized tests to examine their performance and punish those teachers who have not helped students to improve on such tests. Ironic!</p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5MST8R8","webpage","2015","RStudio","The Data Wrangling Cheatsheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015-01","2019-09-28 02:03:30","2019-09-28 02:03:30","2016-01-18 18:42:27","","","","","","","","","","","","","","","","","","","","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8WB5HF8","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2019-09-28 02:03:30","2019-09-28 02:03:30","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p>This article cover topic that people need to interpret the data, engaging in sense-making activities to mediate the information in ways that enable intelligent action.</p> <p>Also, they need to connect data wranglers/analysts with the practitioners that could benefit from the data.</p> <p>Open University example where it is being done.</p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
