"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6UL65MTN","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:49:57","2019-09-17 21:49:57","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div style=""-en-clipboard: true;""><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 35"">an introduction to educational and psychological measurement for practitioners</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 35"">in learning analytics and educational data mining.</span></div> <div><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 35"">Psychological measurement could have high-stakes results,</span></div> <div><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 35"">Comprise of </span></div> <div><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 35"">1. Construct , still need comparison to a measure like  tape measure; we can sense the difference in length but need a construct; with trait!</span></div> <div><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">For example, we can quantify the difference in two</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">lengths by subtracting one measurement from the other.</span></div> <div><span style=""font-size: 9pt; -en-paragraph: true;"" title=""Page 36""> </span></div> <div><span style=""font-family: Lora;"">Relevent instrument for LA that has already developed :</span></div> <div><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">intelligence (e.g., the Stanford–Binet Intelligence Scale), scholastic aptitude</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">(e.g., that SAT test), academic achievement (numerous</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">examples include both large-scale tests and course exams), personality (e.g., the “big five” factor model; Digman, 1990), achievement-goal orientation (e.g., Midgley et al., 2000), achievement emotions (Pekrun, Goetz, Frenzel, Barchfeld, &amp; Perry, 2011), grit (Duck</span><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">-</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">worth, Peterson, Matthews, &amp; Kelly, 2007), self-theories of intelligence and fixed/growth mindset (Dweck, 2000; Yeager &amp; Dweck, 2012), intrinsic motivation (Deci &amp; Ryan, 1985; Guay, Vallerand, &amp; Blanchard, 2000), self-regulated learning and self-efficacy (e.g., Pintrich &amp; De Groot, 1990), learning power (Bucking</span><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">-</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 36"">ham Shum &amp; Deakin Crick, 2012; Crick, Broadfoot, &amp; Claxton, 2004), and crowd-sourced learning ability (Milligan &amp; Griffin, 2016).</span></div> <div><span style=""font-size: 9pt; -en-paragraph: true;"" title=""Page 36""> </span></div> <div><span style=""font-size: 12px; font-family: Lora;"">People’s responses to an instriument may not be always faithfully reflect. Statistical models allow us to think of items, indicators, or tests as random samples of a latent variable. The inherent non-repeatedity results in possible error</span></div> <div><span style=""font-size: 12px;""> </span></div> <div><span style=""font-size: 12px; font-family: Lora;"">I read that we could use a lot of measurement model in learning analytics, then why do we still need learning analytics if we can just focus on </span></div> <div> Learning analytics could play a role of middle space for learning science and analytics, predictive models and explanatory model, minimizing errors, to know how to handle errors and uncertainty.</div> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62R7XAVR","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:49:59","2019-09-17 21:49:59","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<div style=""-en-clipboard: true;"">It is an overview of <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 49"">of how our own thinking has developed</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 49"">and maps our journey against broader developments in the field. Against a backdrop of</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 49"">technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning</span> <span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"" title=""Page 49"">analytics.</span></div> <div><span style=""font-family: Lora;"">Ethical issues were grouped within the three broads:</span></div> <div><span style=""font-family: Lora;"">The location and interpretation of data</span></div> <div style=""margin-top: 1em; margin-bottom: 1em;""><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"">Informed consent, privacy, and the de-identifi</span><span style=""font-size: 9pt; font-family: Lora; -en-paragraph: true;"">- cation of data</span></div> <div style=""margin-top: 1em; margin-bottom: 1em;""><span style=""font-size: 9pt; font-family: Lora;"">The management, classification, and storage of data</span></div> <p> </p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9THCAHVF","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:50:01","2019-09-17 21:50:01","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the eld.</p> <p>The ethical problem is always the biggest obstacle to la researchers and practitioners.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46S5T3ID","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:50:02","2019-09-17 21:50:02","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process. </p> <p>Learning analytics could play a role of middle space for learning science and analytics, predictive models and explanatory model, minimizing errors, to know how to handle errors and uncertainty.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLPTLBQX","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:50:02","2019-09-17 21:50:02","","134-136","","","","","","","","","","","","","","","","","","","","","<p id=""67c2"" class=""iq ir ef at is b ey it fa iu iv iw ix iy iz ja jb"" data-selectable-paragraph="""">To convey the idea and to understand the art of achieving graphical excellence and in turn appreciate the beauty with which these graphs are able to represent the data; we will learn and try to understand the following fundamental graphical designs and visualize and see just how good and fascinating graphical designs can be:</p> <p id=""fb96"" class=""iq ir ef at is b ey it fa iu iv iw ix iy iz ja jb"" data-selectable-paragraph=""""><strong class=""is jt"">1. Data Maps<br />2. Time Series<br />3. Space Time Narrative Designs<br />4. Relational Graphics</strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G42UFRUX","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:50:03","2019-09-17 21:50:03","","","","","","","","","","","","","","","","","","","","","","","<p>The importance of graphical displays in statistical practice has been recognized<br />sporadically in the statistical literature over the past century, with wider awareness<br />following Tukey’s Exploratory Data Analysis (1977) and Tufte’s books in the succeeding<br />decades. But statistical graphics still occupies an awkward in-between position: Within<br />statistics, exploratory and graphical methods represent a minor subfield and are not wellintegrated with larger themes of modeling and inference. Outside of statistics,<br />infographics (also called information visualization or Infovis) is huge, but the</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248BXTWQ","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:50:03","2019-09-17 21:50:03","","","","","","","","","","","","","","","","","Blog","","","","","","<p style=""box-sizing: border-box; word-break: break-word; margin: 0px 0px 12px !important; padding: 0px; color: #000000; font-family: Asap; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;""><span style=""box-sizing: border-box; word-break: break-word; font-size: 11pt; font-family: arial, helvetica, sans-serif;"">The Junk Charts Trifecta Checkup is a general framework for data visualization criticism. It captures how I like to organize the thinking behind my critique pieces.</span></p> <p style=""box-sizing: border-box; word-break: break-word; margin: 0px 0px 12px !important; padding: 0px; color: #000000; font-family: Asap; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial;""><span style=""box-sizing: border-box; word-break: break-word; font-size: 11pt; font-family: arial, helvetica, sans-serif;"">The need for such a framework is clear. Opinion pieces on specific data graphics frequently come across as stream of conscience. Proclaiming a chart ""mind-blowing"" or ""worst of the century"" isn't worth much if the author cannot articulate why. The state of dataviz criticism has not progressed further than assembling a set of ""rules of thumb"".</span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETDXEBNN","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:50:04","2019-09-17 21:50:04","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators.</p> <p>Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)</p>","","","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDJMKSJX","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:50:09","2019-09-17 21:50:09","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAHY3JIR","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:50:13","2019-09-17 21:50:13","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<div style=""-en-clipboard: true;"">Pre-reading ?I don’t see any reason why student shouldn’t own their educational data. </div> <div>Research value : research on individual pattern brings more chance of breakthrough</div> <div><span style=""font-size: 18px; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-variant-caps: normal; font-variant-ligatures: normal;"">Learning style theory comes from analyzing a population and trying to parse out different ways of learning over a population. But when you apply it to one individual it doesn’t hold. You can’t start with averages, it doesn’t work.</span></div> <div><span style=""font-size: 18px; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-variant-caps: normal; font-variant-ligatures: normal;"">When we start talking about the ability to create some kind of personalized learning, you have to be able to model the individual. </span></div> <div><span style=""caret-color: #f7f7f7; font-size: 18px; --inversion-type-color: simple; color: #080808; font-family: Heuristica;"">You</span><span style=""font-size: 18px; --inversion-type-color: simple; color: #080808; font-family: Heuristica;""> can never learn individual truly from a certain pattern: we actually cannot tell anything in a population study</span></div> <div><span style=""caret-color: #f7f7f7; font-size: 18px; --inversion-type-color: simple; color: #080808; font-family: Heuristica;"">Student should own the data, third party should get involved to supervise the process</span></div> <div><span style=""font-size: 18px; --inversion-type-color: simple;""> </span></div> <div><span style=""font-size: 18px; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; color: #333333; font-family: Heuristica, 'Times New Roman', Times, serif; font-variant-caps: normal; font-variant-ligatures: normal;"">I agree with his opinion that truly transformational potential of the technology [is hard for venture-backed companies] to do. Whenever there’s economic or political interest involved, there’s always a discriminated bar which was not full access to learning subjects. And the transformation took place only when the beneficiaries no longer belong to a small group of entities.</span></div> <p> </p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
